Serial.No,Genus,Species,long_dd,lat_dd,Date.Collected,Geographical.Location,Local.Environment,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,hurs_max,hurs_mean,hurs_min,hurs_range
758725,Alnus,glutinosa,-0.1,51.1,4-Dec-13,UK:England:West Sussex,NA,10.25,6.7,0.348000002,453.4,20.75,1.45,19.3,7.85,14.65,16.25,4.75,823,98.8,52.2,22.6,274.1,164.5,168.6,227.7,69.29,64.8,62.02,7.27
770857,Alnus,glutinosa,-1.5,51.4,27-Jan-14,UK:England:Berkshire,NA,10.05,6.8,0.352999997,446.6,20.65,1.45,19.2,7.65,16.05,16.05,4.65,768.6,81.5,51.1,18.3,243.5,159.7,159.7,208,70.01,64.57,61.16,8.85
815549,Alnus,glutinosa,-2.9,50.8,10-Nov-14,UK:England:Dorset,NA,10.65,6,0.341000009,413.7,20.25,2.55,17.7,8.55,16.15,16.15,5.65,1001.2,117.3,59.6,23.2,334.1,191.1,191.1,296.7,68.82,65.5,63.04,5.78
895710,Alnus,glutinosa,-4.5,56.4,8-Nov-16,UK:Scotland:Tayside,NA,8.15,5.4,0.320000005,414.5,16.45,-0.55,17,3.85,9.85,13.55,2.95,2466.6,331.9,121.3,33.2,851.8,372.1,408.9,819.7,75.79,69.28,63.97,11.82
899305,Alnus,glutinosa,-4.5,55.1,16-Nov-16,UK:Scotland:Dumfries and Galloway,NA,9.05,5.2,0.333999991,375.3,16.75,1.35,15.4,7.05,10.45,14.05,4.55,1704.4,198.8,93.1,26.7,570.1,286.1,326.8,499.5,72.91,69.61,65.09,7.82
925026,Alnus,glutinosa,-0.5,52,10-Jan-17,UK:England:Bedfordshire,NA,10.25,6.8,0.349000001,464.8,21.05,1.45,19.6,10.85,6.55,16.35,4.55,637.5,64.8,38.6,12.8,184.4,133.6,159.4,145.8,69.2,63.66,60.01,9.19
891479,Betula,pendula,0.8,52,18-Sep-16,UK:England:Suffolk,NA,10.25,6,0.323000002,456.7,20.45,1.85,18.6,7.95,6.45,16.25,4.75,580.9,59.5,37.3,12.3,165.1,120.2,152.8,135,68.41,63.84,60.87,7.54
892915,Betula,pubescens,-4.8,51.8,8-Sep-16,UK:Wales:Pembrokeshire,NA,10.65,3.6,0.269000006,343.9,17.55,4.15,13.4,9.55,11.15,15.35,6.65,1251.6,147.4,71.6,26.1,431.7,222.8,279.2,356,65.82,64.87,63.29,2.53
893048,Betula,pubescens,-2.6,55.7,13-Sep-16,UK:Scotland:Borders,NA,8.75,5.9,0.347000003,404.2,17.75,0.65,17.1,6.45,5.65,14.15,3.85,934.8,96.3,61.7,14.1,275.4,195,231.9,236.7,68.66,65.3,63.07,5.59
894492,Betula,pubescens,-1.6,50.9,17-Sep-16,UK:England:Hampshire,NA,10.75,6,0.33499999,427.8,20.45,2.65,17.8,8.65,16.45,16.45,5.65,888,105.9,52,27.1,312.7,160.9,160.9,256.4,68.04,63.85,61.25,6.79
895732,Betula,pubescens,-5.2,55.9,25-Oct-16,UK:Scotland:Strathclyde,NA,9.55,3.4,0.279999995,325,15.55,3.25,12.3,6.55,10.25,13.85,5.65,2084.3,249.9,101,29.9,697.5,317.5,463,643.2,68.42,66.95,64.52,3.9
950323,Betula,pubescens,-4.3,50.9,15-Aug-17,UK:England:Devon,NA,10.25,4.8,0.319000006,363.1,18.05,3.15,14.9,8.75,11.05,15.05,5.95,1204.5,144.3,70.9,25.9,417.6,220,258.9,353,68.56,66.75,64.74,3.82
1010271,Betula,pubescens,-3.7,57.2,1-Aug-18,UK:Scotland:Highlands,NA,7.35,5.8,0.325999999,421.6,16.35,-1.35,17.7,7.75,9.05,12.95,2.25,1131.7,124.9,65.3,18.5,341.8,223.8,260.7,298.6,70.87,66.66,62.61,8.26
912563,Pinus,sylvestris,-4.6,58,18-Jan-17,UK:Scotland:Highlands,NA,8.05,5.8,0.347000003,395.2,16.45,-0.35,16.8,3.95,11.95,13.25,3.25,1537.1,187.5,78.5,28.1,508.2,249.2,264.8,486.9,71.09,66.8,62.97,8.12
912585,Pinus,sylvestris,-3.5,57,1-Feb-17,UK:Scotland:Grampian,NA,6.35,5.7,0.318000007,426.3,15.35,-2.55,17.9,2.05,8.05,12.05,1.15,1115.2,126.7,63,22.5,348.1,207.3,235.3,311.1,74.1,68.45,63.26,10.84
912596,Pinus,sylvestris,-4.7,56.4,26-Jan-17,UK:Scotland:Tayside,NA,7.55,5.5,0.326999998,408.1,15.65,-1.05,16.7,3.35,9.25,12.85,2.45,2965.3,394.5,142.7,33.2,1018.5,438.5,493.2,982,75.59,69.74,64.42,11.17
925037,Pinus,sylvestris,-4.8,57.2,15-Feb-17,UK:Scotland:Highlands,NA,7.75,5.4,0.322000003,406.2,15.95,-0.85,16.8,3.65,11.75,13.05,2.75,1883.8,252,92.3,34.5,668.7,281.7,303.4,637.1,74.51,68.88,63.69,10.82
925509,Pinus,sylvestris,-3.7,57.2,8-Jan-17,UK:Scotland:Highlands,NA,7.75,5.7,0.323000002,423.4,16.75,-1.05,17.8,8.15,9.45,13.45,2.55,1102.7,121.2,62.9,18.8,332.4,216.2,252.6,293.6,70.65,66.18,62.06,8.59
945534,Pinus,sylvestris,-4.6,57.2,26-Feb-17,UK:Scotland:Highlands,NA,6.95,5.4,0.323000002,396.6,15.15,-1.45,16.6,3.05,8.45,12.25,2.15,1713.8,227.7,86.4,33.4,602.6,263.2,284.4,572.3,71.41,67.34,62.34,9.07
