serial_number,sp,Altitude,Genus,Species,long_dd,lat_dd,Date.Collected,Geographical.Location,Local.Environment,CHELSA_tasmax_01_1981.2010,CHELSA_tasmax_02_1981.2010,CHELSA_tasmax_03_1981.2010,CHELSA_tasmax_04_1981.2010,CHELSA_tasmax_05_1981.2010,CHELSA_tasmax_06_1981.2010,CHELSA_tasmax_07_1981.2010,CHELSA_tasmax_08_1981.2010,CHELSA_tasmax_09_1981.2010,CHELSA_tasmax_10_1981.2010,CHELSA_tasmax_11_1981.2010,CHELSA_tasmax_12_1981.2010,CHELSA_tas_01_1981.2010,CHELSA_tas_02_1981.2010,CHELSA_tas_03_1981.2010,CHELSA_tas_04_1981.2010,CHELSA_tas_05_1981.2010,CHELSA_tas_06_1981.2010,CHELSA_tas_07_1981.2010,CHELSA_tas_08_1981.2010,CHELSA_tas_09_1981.2010,CHELSA_tas_10_1981.2010,CHELSA_tas_11_1981.2010,CHELSA_tas_12_1981.2010,CHELSA_tasmin_01_1981.2010,CHELSA_tasmin_02_1981.2010,CHELSA_tasmin_03_1981.2010,CHELSA_tasmin_04_1981.2010,CHELSA_tasmin_05_1981.2010,CHELSA_tasmin_06_1981.2010,CHELSA_tasmin_07_1981.2010,CHELSA_tasmin_08_1981.2010,CHELSA_tasmin_12_1981.2010,CHELSA_tasmin_11_1981.2010,CHELSA_tasmin_10_1981.2010,CHELSA_tasmin_09_1981.2010,soil_temp_0_5_cm_month_01,soil_temp_0_5_cm_month_02,soil_temp_0_5_cm_month_03,soil_temp_0_5_cm_month_04,soil_temp_0_5_cm_month_05,soil_temp_0_5_cm_month_06,soil_temp_0_5_cm_month_07,soil_temp_0_5_cm_month_08,soil_temp_0_5_cm_month_09,soil_temp_0_5_cm_month_10,soil_temp_0_5_cm_month_11,soil_temp_0_5_cm_month_12,ssp126_pr_01,ssp126_pr_02,ssp126_pr_03,ssp126_pr_04,ssp126_pr_05,ssp126_pr_06,ssp126_pr_07,ssp126_pr_08,ssp126_pr_09,ssp126_pr_10,ssp126_pr_11,ssp126_pr_12,ssp126_tas_01,ssp126_tas_02,ssp126_tas_03,ssp126_tas_04,ssp126_tas_05,ssp126_tas_06,ssp126_tas_07,ssp126_tas_08,ssp126_tas_09,ssp126_tas_10,ssp126_tas_11,ssp126_tas_12,ssp126_tasmax_01,ssp126_tasmax_02,ssp126_tasmax_03,ssp126_tasmax_04,ssp126_tasmax_05,ssp126_tasmax_06,ssp126_tasmax_07,ssp126_tasmax_08,ssp126_tasmax_09,ssp126_tasmax_10,ssp126_tasmax_11,ssp126_tasmax_12,ssp126_tasmin_01,ssp126_tasmin_02,ssp126_tasmin_03,ssp126_tasmin_04,ssp126_tasmin_05,ssp126_tasmin_06,ssp126_tasmin_07,ssp126_tasmin_08,ssp126_tasmin_09,ssp126_tasmin_10,ssp126_tasmin_11,ssp126_tasmin_12,ssp585_tas_01,ssp585_tas_02,ssp585_tas_03,ssp585_tas_04,ssp585_tas_05,ssp585_tas_06,ssp585_tas_07,ssp585_tas_08,ssp585_tas_09,ssp585_tas_10,ssp585_tas_11,ssp585_tas_12,ssp585_tasmax_01,ssp585_tasmax_02,ssp585_tasmax_03,ssp585_tasmax_04,ssp585_tasmax_05,ssp585_tasmax_06,ssp585_tasmax_07,ssp585_tasmax_08,ssp585_tasmax_09,ssp585_tasmax_10,ssp585_tasmax_11,ssp585_tasmax_12,ssp585_tasmin_01,ssp585_tasmin_02,ssp585_tasmin_03,ssp585_tasmin_04,ssp585_tasmin_05,ssp585_tasmin_06,ssp585_tasmin_07,ssp585_tasmin_08,ssp585_tasmin_09,ssp585_tasmin_10,ssp585_tasmin_11,ssp585_tasmin_12,ssp585_pr_01,ssp585_pr_02,ssp585_pr_03,ssp585_pr_04,ssp585_pr_05,ssp585_pr_06,ssp585_pr_07,ssp585_pr_08,ssp585_pr_09,ssp585_pr_10,ssp585_pr_11,ssp585_pr_12
758725,Alnus glutinosa,85,Alnus,glutinosa,-0.1,51.1,4-Dec-13,UK:England:West Sussex,NA,6.85,7.15,9.65,12.25,15.65,18.45,20.75,20.55,17.85,14.05,9.85,7.25,4.75,4.45,6.55,8.55,11.95,14.85,17.05,16.85,14.35,11.05,7.45,5.05,1.85,1.45,2.95,4.25,7.65,10.45,12.75,12.75,2.35,4.55,8.05,10.65,4.900000095,4.989999771,6.820000172,3.900000095,7.690000057,10.27999973,12.23999977,13.94999981,13.72000027,11.64999962,10.22000027,7.130000114,90.8,63,63.2,58.9,55.6,50.4,57.1,58.3,60.6,96.6,87.5,94.4,6.45,6.05,7.85,9.75,14.15,17.05,19.95,20.35,18.25,14.75,10.05,7.35,8.65,8.75,11.05,13.55,18.35,21.05,23.75,24.35,22.15,18.05,12.55,9.65,3.65,2.95,4.25,5.45,9.45,12.25,15.55,15.85,14.25,11.65,7.15,4.65,9.35,8.55,10.55,12.65,16.55,20.65,24.05,24.65,22.25,18.35,13.85,10.05,11.45,11.35,13.75,16.65,21.05,25.05,28.45,29.25,26.75,21.85,16.45,12.35,6.55,5.55,6.95,7.95,11.45,15.65,19.25,19.75,17.95,15.15,10.95,7.35,107.3,65.4,77.9,61.5,47.7,45,42,51.9,53.3,90.6,114.2,106.5
770857,Alnus glutinosa,95,Alnus,glutinosa,-1.5,51.4,27-Jan-14,UK:England:Berkshire,NA,6.85,7.15,9.65,12.15,15.55,18.35,20.65,20.25,17.55,13.75,9.65,6.95,4.65,4.55,6.55,8.45,11.85,14.75,16.85,16.55,14.05,10.75,7.25,4.85,1.85,1.45,2.85,4.15,7.35,10.25,12.35,12.35,2.25,4.35,7.65,10.35,3.849999905,3.809999943,4.369999886,4.789999962,9.279999733,10.97000027,13.65999985,16.89999962,14.97000027,11.81000042,9.149999619,5.880000114,85,58.3,64.6,55.8,59.8,50.5,59.7,49.9,55.3,81.7,77.9,87.3,6.35,6.05,7.85,9.75,14.15,17.05,19.75,20.05,17.95,14.45,9.75,7.15,8.65,8.75,11.05,13.55,18.35,20.95,23.75,24.15,21.95,17.75,12.35,9.35,3.45,2.95,4.15,5.25,9.15,12.15,15.25,15.55,13.95,11.25,6.65,4.45,9.25,8.65,10.55,12.45,16.45,20.65,24.05,24.55,22.05,18.05,13.55,9.75,11.55,11.35,13.85,16.65,21.05,25.05,28.55,29.15,26.55,21.55,16.25,11.95,6.45,5.55,6.75,7.75,11.15,15.55,19.05,19.45,17.55,14.75,10.45,7.15,98.3,59.1,78.3,57.8,50.8,45.6,40.9,45.5,46.3,76.4,102.2,97.6
815549,Alnus glutinosa,80,Alnus,glutinosa,-2.9,50.8,10-Nov-14,UK:England:Dorset,NA,7.65,7.75,9.85,12.05,15.45,18.15,20.25,19.95,17.55,13.95,10.45,7.95,5.65,5.35,7.05,8.75,11.95,14.85,16.85,16.65,14.45,11.45,8.25,6.05,2.95,2.55,3.75,4.85,8.15,10.95,13.15,13.15,3.45,5.55,8.75,11.25,5.03000021,5,6.809999943,6.460000038,9.079999924,11.68999958,14.09000015,15.71000004,15.52000046,12.78999996,10.43999958,7.869999886,120.9,93.3,87.8,71.3,71.4,61.6,67,64.8,68,109.2,101.2,138.2,7.15,6.85,8.35,10.15,14.25,17.15,19.75,20.05,18.35,15.15,10.65,8.25,9.35,9.35,11.25,13.65,18.15,20.75,23.25,23.65,21.95,17.95,13.15,10.15,4.45,4.15,5.05,6.05,10.05,13.05,16.05,16.25,14.85,12.35,7.75,5.75,10.15,9.35,10.95,12.75,16.75,21.15,24.45,24.95,22.55,18.65,14.45,10.85,12.25,11.85,13.85,16.55,21.05,25.35,28.65,29.25,26.75,21.75,16.85,12.85,7.45,6.65,7.65,8.55,12.15,16.55,20.05,20.45,18.55,15.75,11.75,8.35,141.6,94.9,106.7,75.7,53.3,51.9,43.5,56.8,58.6,97.4,138.7,143.7
892915,Betula pubescens,30,Betula,pubescens,-4.8,51.8,8-Sep-16,UK:Wales:Pembrokeshire,NA,7.85,7.55,8.85,10.55,13.25,15.55,17.35,17.55,16.05,13.45,10.55,8.45,6.65,6.15,7.35,8.65,11.25,13.65,15.65,15.85,14.45,11.95,9.35,7.25,4.75,4.15,5.25,6.25,8.85,11.45,13.55,13.85,5.35,7.55,10.25,12.45,6.010000229,5.590000153,5.760000229,3.75,6.929999828,9.640000343,11.52000046,12.92000008,13.27999973,11.76000023,10.89999962,8.199999809,147.8,104.5,102.7,76.1,83.1,76,91.3,85.5,89.4,159.5,146.5,159,8.25,7.75,8.55,10.05,13.25,15.65,18.25,18.85,18.05,15.45,11.95,9.35,9.45,9.05,10.05,12.05,15.55,17.65,20.05,20.75,19.95,17.15,13.15,10.55,6.35,5.95,6.65,7.45,10.65,13.25,16.25,16.65,15.85,13.65,10.25,7.55,10.85,9.95,10.95,12.35,15.65,19.35,22.35,23.35,21.95,18.85,15.35,11.75,11.95,11.35,12.55,14.45,18.15,21.75,24.55,25.75,24.25,20.65,16.65,12.85,9.05,8.25,8.95,9.75,12.75,16.85,19.95,20.75,19.55,17.05,13.65,9.95,168.1,108.9,124.2,84.5,65.1,61.4,64.2,72.8,78.2,149.9,193.8,157.8
893048,Betula pubescens,150,Betula,pubescens,-2.6,55.7,13-Sep-16,UK:Scotland:Borders,NA,5.15,5.65,7.75,10.05,12.95,15.55,17.75,17.35,14.85,11.35,7.65,5.25,3.75,3.95,5.55,7.35,10.05,12.85,14.95,14.65,12.35,9.35,6.15,3.85,0.65,0.65,1.65,2.95,5.65,8.65,10.65,10.55,0.85,3.05,6.05,8.65,3.569999933,3.700000048,3.349999905,4.920000076,7.570000172,10,12.98999977,13.81999969,12.67000008,10.02999973,7.829999924,4.650000095,88.2,67.3,75.4,62.7,64.4,70,88.3,82,64.7,97.2,91.6,92.7,5.05,5.25,6.45,8.35,12.05,14.95,17.85,17.95,15.85,12.65,8.45,5.95,6.55,6.85,8.75,11.35,15.65,18.15,21.05,20.95,18.85,15.05,10.35,7.45,1.95,1.95,2.65,3.75,7.05,10.05,13.35,13.55,11.75,9.25,5.05,2.95,7.75,7.55,8.65,10.75,14.35,18.85,22.25,22.45,19.65,16.05,12.05,8.65,9.35,9.35,11.15,13.95,18.25,22.65,26.05,26.35,23.45,18.45,13.85,10.15,4.55,4.35,4.65,5.95,9.05,13.65,17.15,17.35,15.15,12.75,8.75,5.55,100.7,71.2,85.1,77.1,52.6,60.7,66,63.5,66.3,93.9,118.5,89.4
894492,Betula pubescens,25,Betula,pubescens,-1.6,50.9,17-Sep-16,UK:England:Hampshire,NA,7.55,7.55,9.85,12.25,15.55,18.25,20.45,20.35,17.85,14.25,10.45,7.85,5.55,5.35,7.15,8.95,12.25,15.05,17.15,17.05,14.75,11.75,8.35,5.95,3.05,2.65,3.85,5.15,8.35,11.15,13.25,13.35,3.55,5.75,9.05,11.55,5.239999771,4.989999771,4.889999866,4.590000153,8.279999733,11.22999954,14.06999969,15.81000042,14.17000008,11.80000019,10.38000011,7.369999886,100.5,74,75.3,62.2,57,52.6,57.9,49.8,64.7,106.4,102.9,109.9,7.25,6.85,8.45,10.25,14.55,17.35,20.05,20.55,18.75,15.45,10.75,8.25,9.35,9.15,11.35,13.65,18.25,20.85,23.45,24.25,22.35,18.25,13.15,10.15,4.65,4.25,5.25,6.35,10.15,13.05,16.15,16.55,15.15,12.65,8.05,5.85,10.15,9.55,11.15,13.05,16.95,20.95,24.35,25.05,22.85,19.05,14.65,10.95,12.25,11.75,14.05,16.75,21.05,25.05,28.35,29.35,26.95,22.15,17.05,12.95,7.75,6.85,7.85,8.85,12.15,16.45,19.85,20.55,18.85,16.15,11.95,8.45,115,74.5,90.6,63.9,47.4,47.7,40.7,46,53.9,97.4,132.1,121
895710,Alnus glutinosa,154,Alnus,glutinosa,-4.5,56.4,8-Nov-16,UK:Scotland:Tayside,NA,3.75,4.25,6.15,9.35,12.75,14.85,16.45,16.05,13.45,10.05,6.55,4.05,2.85,3.05,4.65,7.05,10.05,12.55,14.25,13.95,11.65,8.65,5.65,3.05,-0.35,-0.55,0.75,2.55,5.45,8.25,10.25,10.05,-0.05,2.55,5.45,8.15,3.25,1.649999976,4.610000134,5.260000229,6.869999886,9.319999695,11.23999977,13.89000034,12.81000042,9.5,7.079999924,3.779999971,273,189.8,232.9,119.6,127.1,109.8,137.5,159.7,189.9,279,250,257.3,4.15,4.05,5.35,8.05,11.95,14.35,16.85,17.05,15.05,12.05,8.05,4.75,4.85,5.15,6.85,10.55,14.95,17.05,19.35,19.45,17.25,13.55,9.05,5.75,1.35,0.75,1.55,3.35,6.75,9.65,12.75,13.05,11.35,8.75,4.75,1.75,6.65,6.45,7.45,10.15,14.05,17.85,20.75,21.05,18.75,15.45,11.45,7.55,7.45,7.45,9.15,12.75,17.45,21.05,23.65,24.15,21.45,16.95,12.45,8.55,3.85,3.35,3.55,5.45,8.55,12.65,16.25,16.45,14.65,12.45,8.35,4.55,320.7,205.7,251,149.8,111.6,104.2,117.2,117,194.1,293.6,349.3,278.1
895732,Betula pubescens,60,Betula,pubescens,-5.2,55.9,25-Oct-16,UK:Scotland:Strathclyde,NA,6.55,6.45,7.45,9.25,12.05,13.95,15.45,15.55,14.05,11.55,9.05,6.95,5.65,5.45,6.35,7.85,10.35,12.55,14.25,14.35,12.85,10.55,8.15,5.95,3.55,3.25,3.95,5.15,7.55,10.05,12.05,12.25,3.85,6.05,8.55,10.75,5.059999943,3.930000067,5.539999962,5.46999979,8.010000229,9.619999886,11.68000031,12.77000046,12.56999969,10.35000038,9.350000381,6.78000021,229.8,158.7,193.2,101.8,103.9,90.5,126.2,150.4,165.8,249.9,222.6,225.3,6.95,6.55,7.05,8.75,12.05,14.25,16.75,17.25,16.05,13.75,10.65,7.75,7.75,7.45,8.25,10.35,14.05,16.05,18.15,18.65,17.65,14.85,11.55,8.85,5.15,4.65,4.65,5.95,8.85,11.35,14.45,15.05,13.75,11.75,8.45,5.75,9.45,8.85,9.25,10.95,14.25,17.75,20.45,21.25,19.75,17.05,13.95,10.45,10.35,9.75,10.55,12.55,16.45,19.85,22.25,23.15,21.65,18.05,15.05,11.45,7.65,6.95,6.75,8.05,10.75,14.55,17.75,18.55,17.15,15.15,11.85,8.45,255.4,171,209.4,122.3,90.2,91,104.8,115.7,170.1,254.3,299.6,236.7
899305,Alnus glutinosa,99,Alnus,glutinosa,-4.5,55.1,16-Nov-16,UK:Scotland:Dumfries and Galloway,NA,5.55,5.85,7.55,9.95,13.25,15.15,16.75,16.45,14.35,11.25,8.05,5.85,4.45,4.45,5.85,7.65,10.65,12.95,14.65,14.45,12.45,9.75,6.85,4.65,1.55,1.35,2.35,3.65,6.45,9.15,11.05,10.95,1.75,3.95,6.75,9.25,4.260000229,3.809999943,4.389999866,4.900000095,6.480000019,9.109999657,10.26000023,12.56999969,12.56999969,10.21000004,9.119999886,5.949999809,180.7,127.2,153.9,92.9,98.1,80.7,112.9,126.4,131.1,219.5,190,197.4,5.85,5.55,6.55,8.55,12.35,14.75,17.25,17.45,15.75,13.15,9.35,6.65,6.85,6.85,8.35,11.05,15.25,17.25,19.55,19.75,17.95,14.65,10.65,7.85,3.15,2.65,3.05,4.35,7.75,10.45,13.45,13.85,12.45,10.25,6.35,3.75,8.35,7.95,8.85,10.85,14.65,18.25,20.95,21.55,19.55,16.45,12.75,9.35,9.45,9.35,10.65,13.35,17.75,21.05,23.65,24.25,21.95,17.95,14.15,10.55,5.65,5.05,5.25,6.55,9.85,13.85,16.95,17.45,15.95,13.65,9.65,6.55,204.5,134.9,171,111.9,81.9,80.3,93,96,134.4,219.5,259.1,210.9
912563,Pinus sylvestris,170,Pinus,sylvestris,-4.6,58.0,18-Jan-17,UK:Scotland:Highlands,NA,4.25,4.85,6.65,9.35,12.45,14.45,16.45,16.05,13.55,10.05,6.65,4.25,3.15,3.45,4.85,6.95,9.65,12.05,14.05,13.75,11.55,8.55,5.55,3.05,-0.35,-0.35,0.75,2.25,4.85,7.75,9.95,9.75,-0.35,2.15,4.95,7.75,3.680000067,3.049999952,4.75,4.670000076,6.289999962,8.489999771,10.72999954,13.01000023,13.10000038,10.47000027,8.350000381,5.159999847,154.2,111.7,139.9,85.6,80.2,69.9,85.3,108.9,112.3,159.5,157.6,157.6,4.35,4.45,5.45,7.75,11.35,13.65,16.65,16.75,14.85,11.75,7.85,4.75,5.15,5.65,7.25,10.15,14.35,16.25,19.15,19.15,16.95,13.25,8.95,5.85,1.15,0.95,1.45,3.05,6.25,9.05,12.45,12.75,10.85,8.15,4.45,1.55,6.65,6.75,7.55,9.65,13.15,16.75,20.05,20.35,18.15,14.85,11.15,7.35,7.55,7.85,9.35,12.15,16.35,19.75,22.95,23.25,20.75,16.45,12.15,8.45,3.55,3.35,3.55,4.95,7.95,11.95,15.65,15.95,14.05,11.55,7.85,4.05,183.3,129.3,146.5,102.5,74.8,67,77,77.9,118.8,175.5,224.9,175.5
