Serial.No,CHELSA_tasmax_01_1981.2010,CHELSA_tasmax_02_1981.2010,CHELSA_tasmax_03_1981.2010,CHELSA_tasmax_04_1981.2010,CHELSA_tasmax_05_1981.2010,CHELSA_tasmax_06_1981.2010,CHELSA_tasmax_07_1981.2010,CHELSA_tasmax_08_1981.2010,CHELSA_tasmax_09_1981.2010,CHELSA_tasmax_10_1981.2010,CHELSA_tasmax_11_1981.2010,CHELSA_tasmax_12_1981.2010,CHELSA_tas_01_1981.2010,CHELSA_tas_02_1981.2010,CHELSA_tas_03_1981.2010,CHELSA_tas_04_1981.2010,CHELSA_tas_05_1981.2010,CHELSA_tas_06_1981.2010,CHELSA_tas_07_1981.2010,CHELSA_tas_08_1981.2010,CHELSA_tas_09_1981.2010,CHELSA_tas_10_1981.2010,CHELSA_tas_11_1981.2010,CHELSA_tas_12_1981.2010,CHELSA_tasmin_01_1981.2010,CHELSA_tasmin_02_1981.2010,CHELSA_tasmin_03_1981.2010,CHELSA_tasmin_04_1981.2010,CHELSA_tasmin_05_1981.2010,CHELSA_tasmin_06_1981.2010,CHELSA_tasmin_07_1981.2010,CHELSA_tasmin_08_1981.2010,CHELSA_tasmin_12_1981.2010,CHELSA_tasmin_11_1981.2010,CHELSA_tasmin_10_1981.2010,CHELSA_tasmin_09_1981.2010,CHELSA_hurs_01_1981-2010,CHELSA_hurs_02_1981-2010,CHELSA_hurs_03_1981-2010,CHELSA_hurs_04_1981-2010,CHELSA_hurs_05_1981-2010,CHELSA_hurs_06_1981-2010,CHELSA_hurs_07_1981-2010,CHELSA_hurs_08_1981-2010,CHELSA_hurs_09_1981-2010,CHELSA_hurs_10_1981-2010,CHELSA_hurs_11_1981-2010,CHELSA_hurs_12_1981-2010,CHELSA_pr_01_1981-2010,CHELSA_pr_02_1981-2010,CHELSA_pr_03_1981-2010,CHELSA_pr_04_1981-2010,CHELSA_pr_05_1981-2010,CHELSA_pr_06_1981-2010,CHELSA_pr_07_1981-2010,CHELSA_pr_08_1981-2010,CHELSA_pr_09_1981-2010,CHELSA_pr_10_1981-2010,CHELSA_pr_11_1981-2010,CHELSA_pr_12_1981-2010,CHELSA_fcf_1981-2010
758725,6.85,7.15,9.65,12.25,15.65,18.45,20.75,20.55,17.85,14.05,9.85,7.25,4.75,4.45,6.55,8.55,11.95,14.85,17.05,16.85,14.35,11.05,7.45,5.05,1.85,1.45,2.95,4.25,7.65,10.45,12.75,12.75,2.35,4.55,8.05,10.65,68.69,66.26,64.7,62.37,62.17,62.11,62.02,62.31,63.76,65.95,67.99,69.29,83.6,56.8,59.4,56.1,58.3,52.2,54,62.4,66.1,98.8,88,87.3,NA
770857,6.85,7.15,9.65,12.15,15.55,18.35,20.65,20.25,17.55,13.75,9.65,6.95,4.65,4.55,6.55,8.45,11.85,14.75,16.85,16.55,14.05,10.75,7.25,4.85,1.85,1.45,2.85,4.15,7.35,10.25,12.35,12.35,2.25,4.35,7.65,10.35,68.87,66.16,64.24,62.01,61.37,61.26,61.16,61.7,63.44,66.01,68.58,70.01,75.5,51.8,61.8,53.9,60.4,51.1,53.6,55,62,81.3,81.5,80.7,NA
815549,7.65,7.75,9.85,12.05,15.45,18.15,20.25,19.95,17.55,13.95,10.45,7.95,5.65,5.35,7.05,8.75,11.95,14.85,16.85,16.65,14.45,11.45,8.25,6.05,2.95,2.55,3.75,4.85,8.15,10.95,13.15,13.15,3.45,5.55,8.75,11.25,68.47,66.79,65.66,63.38,63.04,63.08,63.46,64.01,64.88,66.71,67.66,68.82,102,77.4,81.3,67.2,69.5,62.6,59.6,68.9,78.6,112.3,104.5,117.3,NA
870171,2.45,4.75,9.25,14.05,18.85,21.75,23.85,23.25,19.05,13.95,7.75,2.95,-2.15,0.15,4.65,9.55,14.55,17.45,19.35,18.75,14.45,9.45,3.75,-0.85,-6.65,-5.05,-0.85,3.45,8.35,11.45,13.55,13.45,-4.55,0.25,5.25,9.65,62.86,60,58.37,57.05,58.5,59.36,59.16,60.65,62.09,63.88,64.04,63.47,25.1,31.7,44.7,55.4,92.9,119,114.3,130,93,70.4,51.9,45,125
895710,3.75,4.25,6.15,9.35,12.75,14.85,16.45,16.05,13.45,10.05,6.55,4.05,2.85,3.05,4.65,7.05,10.05,12.55,14.25,13.95,11.65,8.65,5.65,3.05,-0.35,-0.55,0.75,2.55,5.45,8.25,10.25,10.05,-0.05,2.55,5.45,8.15,74.59,71.24,69.07,65.44,63.97,64.57,66.14,67.33,68.78,71.09,73.32,75.79,331.9,229.5,238.1,126.2,124.6,121.3,132.7,154.9,214.6,272.9,261.6,258.3,77
899305,5.55,5.85,7.55,9.95,13.25,15.15,16.75,16.45,14.35,11.25,8.05,5.85,4.45,4.45,5.85,7.65,10.65,12.95,14.65,14.45,12.45,9.75,6.85,4.65,1.55,1.35,2.35,3.65,6.45,9.15,11.05,10.95,1.75,3.95,6.75,9.25,72.58,70.02,69.47,66.34,65.09,67.36,69.37,70.1,69.9,70.57,71.66,72.91,185.4,128.5,152.5,99.7,93.3,93.1,105.6,128.1,148.1,198.8,185.7,185.6,NA
905954,11.95,12.45,15.15,18.15,23.25,27.85,30.55,30.45,26.05,21.75,16.55,12.85,8.95,8.95,11.15,13.75,18.35,22.65,25.25,25.35,21.55,17.75,13.25,10.05,5.15,4.65,6.45,8.95,13.15,17.25,20.05,20.35,6.35,9.55,13.75,17.15,62.39,60.64,59.31,58.42,55.93,54.12,53.83,54.82,58.08,60.64,62.9,63.43,111.9,86.6,94.8,74.2,52.6,31.9,38.1,35.7,70.4,111.5,119.2,138.5,NA
925026,6.75,7.15,9.85,12.35,15.75,18.65,21.05,20.85,17.95,13.95,9.65,6.85,4.45,4.35,6.65,8.65,11.95,14.95,17.25,16.95,14.35,10.85,7.25,4.75,1.75,1.45,2.95,4.35,7.45,10.55,12.75,12.65,2.15,4.45,7.75,10.55,67.94,65.51,63.11,61.54,60.98,60.61,60.01,60.43,62.25,64.66,67.72,69.2,52.3,38.6,44,51,52.9,51.2,52,56.2,57.7,64.8,61.9,54.9,NA
891479,6.65,6.85,9.45,11.75,15.05,17.95,20.45,20.45,17.75,13.95,9.75,7.05,4.65,4.45,6.45,8.45,11.65,14.65,17.05,17.05,14.55,11.25,7.55,5.05,2.15,1.85,3.25,4.75,7.95,10.85,13.25,13.35,2.75,4.95,8.55,11.35,67.56,65.22,63.39,61.91,61.76,61.59,60.87,60.99,62.52,64.62,67.22,68.41,47.2,37.3,41.4,41.5,46.7,50.4,48.8,53.6,48.9,59.5,55.1,50.5,NA
892915,7.85,7.55,8.85,10.55,13.25,15.55,17.35,17.55,16.05,13.45,10.55,8.45,6.65,6.15,7.35,8.65,11.25,13.65,15.65,15.85,14.45,11.95,9.35,7.25,4.75,4.15,5.25,6.25,8.85,11.45,13.55,13.85,5.35,7.55,10.25,12.45,65.61,64.76,64.99,63.48,63.29,64.66,65.4,65.42,64.87,64.91,65.17,65.82,128.7,90.2,99,75.3,75.9,71.6,82.6,96.7,99.9,147.4,147.2,137.1,NA
