"serial_number","treat","g","mod","max_GR","Estimate_k","Estimate_Tb","Estimate_Tc","Estimate_ThetaT","Estimate_To","Std. Error_k","Std. Error_Tb","Std. Error_Tc","Std. Error_ThetaT","Std. Error_To","t-value_k","t-value_Tb","t-value_Tc","t-value_ThetaT","t-value_To","p-value_k","p-value_Tb","p-value_Tc","p-value_ThetaT","p-value_To"
"758725","COLD","50%","modGR_Ex",0.495842495835726,0.250535664301205,8.71470942927753,38.0412564070168,37.3200995694857,30.6,0.0639845885188433,0.495275653840283,0.641957993733586,2.30592054248076,NA,3.91556263939125,17.5956749775709,59.2581707500383,16.1844690144162,NA,0.000443741678811892,0.00000000000000000257599683133088,0.000000000000000000000000000000000137472711668307,0.0000000000000000287577205547648,NA
"758725","NS","50%","modGR_Ex",0.28853735518893,0.0645700705497786,14.9728622840913,40.0185319051594,30.9714668803106,29.7,0.00832342035606978,0.166225214696505,0.10032315832814,1.33683344859554,NA,7.75763661902424,90.075758430686,398.89625259071,23.1677827277951,NA,0.00000000941946587752923,0.0000000000000000000000000000000000000022392125026032,0.0000000000000000000000000000000000000000000000000000000000218727532892153,0.00000000000000000000194930222432359,NA
"770857","COLD","50%","modGR_Ex",0.593936140578183,0.246689870964496,8.07683894900528,38.3881191544642,32.3919347536839,30.7,0.0442818281034142,0.339722959969902,0.497261449092439,1.33269046315218,NA,5.57090530202106,23.7747809265551,77.1990654504327,24.3056701081721,NA,0.00000377213728365248,0.000000000000000000000331280131983287,0.0000000000000000000000000000000000000307355252829821,0.000000000000000000000169400187369875,NA
"770857","NS","50%","modGR_Ex",0.361354723983364,0.356795746401639,7.06645074520991,37.5657820826931,59.8964514265144,31.2,0.0799152174866047,0.480388086837287,0.522417202688105,2.51993670132876,NA,4.46467841323769,14.7098792389567,71.9076284038847,23.7690301486267,NA,0.0000934438577551895,0.000000000000000874160607082267,0.000000000000000000000000000000000000294396831954806,0.000000000000000000000333720197013513,NA
"815549","COLD","50%","modGR_Ex",0.58401017783864,0.387333139939027,10.9142491406011,36.707001401366,30.6260120957966,31.1,0.113752236096797,0.601795435706668,0.42400384081825,2.06472938765134,NA,3.40505956831853,18.136144764516,86.572332294274,14.8329424083192,NA,0.00179830915691048,0.00000000000000000106585443155561,0.000000000000000000000000000000000000000798869537120986,0.000000000000000673580814137056,NA
"815549","NS","50%","modGR_Ex",0.323572502290994,0.130448793843402,15.0612415586754,37.2663208453591,30.101085849252,29.2,0.0809766258508001,1.41724475255774,0.637979569507592,8.59738499621011,NA,1.61094380597871,10.6271281170694,58.4130317435121,3.50119086937727,NA,0.117013414067995,0.00000000000501396819376712,0.000000000000000000000000000000000216807030987929,0.0013882359544699,NA
"895710","COLD","50%","modGR_Ex",0.58145732513687,0.353087961446622,8.16813909714245,37.0514898638354,34.6426676544109,30.8,0.0731187235990828,0.399418863112503,0.372373601006765,1.44664077979346,NA,4.82896779466007,20.4500584511497,99.5008501238042,23.9469729723484,NA,0.0000326483352113723,0.0000000000000000000307480279099138,0.00000000000000000000000000000000000000000944324315406841,0.000000000000000000000266124415906396,NA
"895710","NS","50%","modGR_Ex",0.383414263570144,0.157354169657785,14.4324939545368,37.0827953938767,28.1821646487796,29.4,0.0329059200733467,0.264682020289337,0.284394701014223,2.03306941456224,NA,4.7819410400027,54.5276703674846,130.392005412302,13.861880193032,NA,0.0000374146539401258,0.0000000000000000000000000000000019204408636763,0.00000000000000000000000000000000000000000000168511567860165,0.00000000000000445924224403023,NA
"899305","COLD","50%","modGR_Ex",0.524413797150253,0.14397348090364,13.641843071601,37.5513697553212,21.4423963975361,29.3,0.0387710935169426,0.393689673260243,0.426948612408047,2.04175658540826,NA,3.71342327088931,34.6512596041177,87.9529026772717,10.5019357110331,NA,0.00077765794871329,0.00000000000000000000000000301259268666611,0.000000000000000000000000000000000000000482497566582964,0.0000000000067488718332503,NA
"899305","NS","50%","modGR_Ex",0.41780945773064,0.180603657578581,14.8701751237797,36.7035684539435,25.985914178193,29.5,0.0358437231167498,0.260039738549263,0.240408464418202,1.79373847410348,NA,5.03864113084236,57.1842411730568,152.671697907008,14.487013883772,NA,0.0000177603037756829,0.00000000000000000000000000000000042542223794498,0.0000000000000000000000000000000000000000000000109097898406124,0.00000000000000132502760766554,NA
"925026","COLD","50%","modGR_Ex",0.587948708782889,0.697599621364697,7.00869853771591,35.9521054153692,39.8375419830171,31.8,0.179996828868382,0.562994582186768,0.245291231799783,1.58707598951371,NA,3.87562173039613,12.4489626711734,146.569060588007,25.1012190003729,NA,0.000585958660344518,0.000000000000623138496015951,0.000000000000000000000000000000000000000002997964903228,0.00000000000000000000486011820917458,NA
"925026","NS","50%","modGR_Ex",0.278054105401983,0.358515232950637,7.31066719965749,37.4780479974695,76.8692038712109,31.2,0.0874287078846628,0.578920298524595,0.562737715175723,3.80747014262766,NA,4.10065802898054,12.628106525698,66.5994956207376,20.1890496817294,NA,0.000320627743761724,0.000000000000442825632841693,0.0000000000000000000000000000000109520157164159,0.00000000000000000158454978731957,NA
