serial_number,mod,g,treat,max_GR,k,Tb,Tc,ThetaT,To,Std..Error_k,Std..Error_Tb,Std..Error_Tc,Std..Error_ThetaT,Std..Error_To,t.value_k,t.value_Tb,t.value_Tc,t.value_ThetaT,t.value_To,p.value_k,p.value_Tb,p.value_Tc,p.value_ThetaT,p.value_To,Tb_calculated,sp,Altitude,Genus,Species,long_dd,lat_dd,Date.Collected,Geographical.Location,Local.Environment,CHELSA_tasmax_01_1981.2010,CHELSA_tasmax_02_1981.2010,CHELSA_tasmax_03_1981.2010,CHELSA_tasmax_04_1981.2010,CHELSA_tasmax_05_1981.2010,CHELSA_tasmax_06_1981.2010,CHELSA_tasmax_07_1981.2010,CHELSA_tasmax_08_1981.2010,CHELSA_tasmax_09_1981.2010,CHELSA_tasmax_10_1981.2010,CHELSA_tasmax_11_1981.2010,CHELSA_tasmax_12_1981.2010,CHELSA_tas_01_1981.2010,CHELSA_tas_02_1981.2010,CHELSA_tas_03_1981.2010,CHELSA_tas_04_1981.2010,CHELSA_tas_05_1981.2010,CHELSA_tas_06_1981.2010,CHELSA_tas_07_1981.2010,CHELSA_tas_08_1981.2010,CHELSA_tas_09_1981.2010,CHELSA_tas_10_1981.2010,CHELSA_tas_11_1981.2010,CHELSA_tas_12_1981.2010,CHELSA_tasmin_01_1981.2010,CHELSA_tasmin_02_1981.2010,CHELSA_tasmin_03_1981.2010,CHELSA_tasmin_04_1981.2010,CHELSA_tasmin_05_1981.2010,CHELSA_tasmin_06_1981.2010,CHELSA_tasmin_07_1981.2010,CHELSA_tasmin_08_1981.2010,CHELSA_tasmin_12_1981.2010,CHELSA_tasmin_11_1981.2010,CHELSA_tasmin_10_1981.2010,CHELSA_tasmin_09_1981.2010,soil_temp_0_5_cm_month_01,soil_temp_0_5_cm_month_02,soil_temp_0_5_cm_month_03,soil_temp_0_5_cm_month_04,soil_temp_0_5_cm_month_05,soil_temp_0_5_cm_month_06,soil_temp_0_5_cm_month_07,soil_temp_0_5_cm_month_08,soil_temp_0_5_cm_month_09,soil_temp_0_5_cm_month_10,soil_temp_0_5_cm_month_11,soil_temp_0_5_cm_month_12,ssp126_pr_01,ssp126_pr_02,ssp126_pr_03,ssp126_pr_04,ssp126_pr_05,ssp126_pr_06,ssp126_pr_07,ssp126_pr_08,ssp126_pr_09,ssp126_pr_10,ssp126_pr_11,ssp126_pr_12,ssp126_tas_01,ssp126_tas_02,ssp126_tas_03,ssp126_tas_04,ssp126_tas_05,ssp126_tas_06,ssp126_tas_07,ssp126_tas_08,ssp126_tas_09,ssp126_tas_10,ssp126_tas_11,ssp126_tas_12,ssp126_tasmax_01,ssp126_tasmax_02,ssp126_tasmax_03,ssp126_tasmax_04,ssp126_tasmax_05,ssp126_tasmax_06,ssp126_tasmax_07,ssp126_tasmax_08,ssp126_tasmax_09,ssp126_tasmax_10,ssp126_tasmax_11,ssp126_tasmax_12,ssp126_tasmin_01,ssp126_tasmin_02,ssp126_tasmin_03,ssp126_tasmin_04,ssp126_tasmin_05,ssp126_tasmin_06,ssp126_tasmin_07,ssp126_tasmin_08,ssp126_tasmin_09,ssp126_tasmin_10,ssp126_tasmin_11,ssp126_tasmin_12,ssp585_tas_01,ssp585_tas_02,ssp585_tas_03,ssp585_tas_04,ssp585_tas_05,ssp585_tas_06,ssp585_tas_07,ssp585_tas_08,ssp585_tas_09,ssp585_tas_10,ssp585_tas_11,ssp585_tas_12,ssp585_tasmax_01,ssp585_tasmax_02,ssp585_tasmax_03,ssp585_tasmax_04,ssp585_tasmax_05,ssp585_tasmax_06,ssp585_tasmax_07,ssp585_tasmax_08,ssp585_tasmax_09,ssp585_tasmax_10,ssp585_tasmax_11,ssp585_tasmax_12,ssp585_tasmin_01,ssp585_tasmin_02,ssp585_tasmin_03,ssp585_tasmin_04,ssp585_tasmin_05,ssp585_tasmin_06,ssp585_tasmin_07,ssp585_tasmin_08,ssp585_tasmin_09,ssp585_tasmin_10,ssp585_tasmin_11,ssp585_tasmin_12,ssp585_pr_01,ssp585_pr_02,ssp585_pr_03,ssp585_pr_04,ssp585_pr_05,ssp585_pr_06,ssp585_pr_07,ssp585_pr_08,ssp585_pr_09,ssp585_pr_10,ssp585_pr_11,ssp585_pr_12,date_reach_TT_hrs,date_reach_TT_hrs_datecollect,cumulative_heat_sum_dec31,stand_start_date,date_reach_TT_hrs_ssp126,date_reach_TT_hrs_datecollect_ssp126,date_reach_TT_hrs_ssp585,date_reach_TT_hrs_datecollect_ssp585
758725,modGR_Ex,50%,COLD,0.495842496,0.250535664,8.714709429,38.04125641,37.32009957,30.6,0.063984589,0.495275654,0.641957994,2.305920542,NA,3.915562639,17.59567498,59.25817075,16.18446901,NA,0.000443742,2.576E-18,1.37473E-34,2.87577E-17,NA,8.714709429,Alnus glutinosa,85,Alnus,glutinosa,-0.1,51.1,4/12/2013,UK:England:West Sussex,NA,6.85,7.15,9.65,12.25,15.65,18.45,20.75,20.55,17.85,14.05,9.85,7.25,4.75,4.45,6.55,8.55,11.95,14.85,17.05,16.85,14.35,11.05,7.45,5.05,1.85,1.45,2.95,4.25,7.65,10.45,12.75,12.75,2.35,4.55,8.05,10.65,4.900000095,4.989999771,6.820000172,3.900000095,7.690000057,10.27999973,12.23999977,13.94999981,13.72000027,11.64999962,10.22000027,7.130000114,90.8,63,63.2,58.9,55.6,50.4,57.1,58.3,60.6,96.6,87.5,94.4,6.45,6.05,7.85,9.75,14.15,17.05,19.95,20.35,18.25,14.75,10.05,7.35,8.65,8.75,11.05,13.55,18.35,21.05,23.75,24.35,22.15,18.05,12.55,9.65,3.65,2.95,4.25,5.45,9.45,12.25,15.55,15.85,14.25,11.65,7.15,4.65,9.35,8.55,10.55,12.65,16.55,20.65,24.05,24.65,22.25,18.35,13.85,10.05,11.45,11.35,13.75,16.65,21.05,25.05,28.45,29.25,26.75,21.85,16.45,12.35,6.55,5.55,6.95,7.95,11.45,15.65,19.25,19.75,17.95,15.15,10.95,7.35,107.3,65.4,77.9,61.5,47.7,45,42,51.9,53.3,90.6,114.2,106.5,30/4/2023,3/5/2023,36.26375917,4/12/2022,15/4/2023,11/4/2023,14/2/2023,2/1/2023
758725,modGR_Ex,50%,NS,0.288537355,0.064570071,14.97286228,40.01853191,30.97146688,29.7,0.00832342,0.166225215,0.100323158,1.336833449,NA,7.757636619,90.07575843,398.8962526,23.16778273,NA,9.41947E-09,2.23921E-39,2.18728E-59,1.9493E-21,NA,14.97286228,Alnus glutinosa,85,Alnus,glutinosa,-0.1,51.1,4/12/2013,UK:England:West Sussex,NA,6.85,7.15,9.65,12.25,15.65,18.45,20.75,20.55,17.85,14.05,9.85,7.25,4.75,4.45,6.55,8.55,11.95,14.85,17.05,16.85,14.35,11.05,7.45,5.05,1.85,1.45,2.95,4.25,7.65,10.45,12.75,12.75,2.35,4.55,8.05,10.65,4.900000095,4.989999771,6.820000172,3.900000095,7.690000057,10.27999973,12.23999977,13.94999981,13.72000027,11.64999962,10.22000027,7.130000114,90.8,63,63.2,58.9,55.6,50.4,57.1,58.3,60.6,96.6,87.5,94.4,6.45,6.05,7.85,9.75,14.15,17.05,19.95,20.35,18.25,14.75,10.05,7.35,8.65,8.75,11.05,13.55,18.35,21.05,23.75,24.35,22.15,18.05,12.55,9.65,3.65,2.95,4.25,5.45,9.45,12.25,15.55,15.85,14.25,11.65,7.15,4.65,9.35,8.55,10.55,12.65,16.55,20.65,24.05,24.65,22.25,18.35,13.85,10.05,11.45,11.35,13.75,16.65,21.05,25.05,28.45,29.25,26.75,21.85,16.45,12.35,6.55,5.55,6.95,7.95,11.45,15.65,19.25,19.75,17.95,15.15,10.95,7.35,107.3,65.4,77.9,61.5,47.7,45,42,51.9,53.3,90.6,114.2,106.5,28/6/2023,1/7/2023,0,4/12/2022,4/6/2023,4/6/2023,14/5/2023,14/5/2023
770857,modGR_Ex,50%,COLD,0.593936141,0.246689871,7.571644847,38.38811915,32.39193475,30.7,0.044281828,0.33972296,0.497261449,1.332690463,NA,5.570905302,23.77478093,77.19906545,24.30567011,NA,3.77214E-06,3.3128E-22,3.07355E-38,1.694E-22,NA,8.076838949,Alnus glutinosa,95,Alnus,glutinosa,-1.5,51.4,27/1/2014,UK:England:Berkshire,NA,6.85,7.15,9.65,12.15,15.55,18.35,20.65,20.25,17.55,13.75,9.65,6.95,4.65,4.55,6.55,8.45,11.85,14.75,16.85,16.55,14.05,10.75,7.25,4.85,1.85,1.45,2.85,4.15,7.35,10.25,12.35,12.35,2.25,4.35,7.65,10.35,3.849999905,3.809999943,4.369999886,4.789999962,9.279999733,10.97000027,13.65999985,16.89999962,14.97000027,11.81000042,9.149999619,5.880000114,85,58.3,64.6,55.8,59.8,50.5,59.7,49.9,55.3,81.7,77.9,87.3,6.35,6.05,7.85,9.75,14.15,17.05,19.75,20.05,17.95,14.45,9.75,7.15,8.65,8.75,11.05,13.55,18.35,20.95,23.75,24.15,21.95,17.75,12.35,9.35,3.45,2.95,4.15,5.25,9.15,12.15,15.25,15.55,13.95,11.25,6.65,4.45,9.25,8.65,10.55,12.45,16.45,20.65,24.05,24.55,22.05,18.05,13.55,9.75,11.55,11.35,13.85,16.65,21.05,25.05,28.55,29.15,26.55,21.55,16.25,11.95,6.45,5.55,6.75,7.75,11.15,15.55,19.05,19.45,17.55,14.75,10.45,7.15,98.3,59.1,78.3,57.8,50.8,45.6,40.9,45.5,46.3,76.4,102.2,97.6,10/4/2023,14/4/2023,0,27/1/2023,20/3/2023,26/3/2023,22/1/2023,21/2/2023
770857,modGR_Ex,50%,NS,0.361354724,0.356795746,7.571644847,37.56578208,59.89645143,31.2,0.079915217,0.480388087,0.522417203,2.519936701,NA,4.464678413,14.70987924,71.9076284,23.76903015,NA,9.34439E-05,8.74161E-16,2.94397E-37,3.3372E-22,NA,7.066450745,Alnus glutinosa,95,Alnus,glutinosa,-1.5,51.4,27/1/2014,UK:England:Berkshire,NA,6.85,7.15,9.65,12.15,15.55,18.35,20.65,20.25,17.55,13.75,9.65,6.95,4.65,4.55,6.55,8.45,11.85,14.75,16.85,16.55,14.05,10.75,7.25,4.85,1.85,1.45,2.85,4.15,7.35,10.25,12.35,12.35,2.25,4.35,7.65,10.35,3.849999905,3.809999943,4.369999886,4.789999962,9.279999733,10.97000027,13.65999985,16.89999962,14.97000027,11.81000042,9.149999619,5.880000114,85,58.3,64.6,55.8,59.8,50.5,59.7,49.9,55.3,81.7,77.9,87.3,6.35,6.05,7.85,9.75,14.15,17.05,19.75,20.05,17.95,14.45,9.75,7.15,8.65,8.75,11.05,13.55,18.35,20.95,23.75,24.15,21.95,17.75,12.35,9.35,3.45,2.95,4.15,5.25,9.15,12.15,15.25,15.55,13.95,11.25,6.65,4.45,9.25,8.65,10.55,12.45,16.45,20.65,24.05,24.55,22.05,18.05,13.55,9.75,11.55,11.35,13.85,16.65,21.05,25.05,28.55,29.15,26.55,21.55,16.25,11.95,6.45,5.55,6.75,7.75,11.15,15.55,19.05,19.45,17.55,14.75,10.45,7.15,98.3,59.1,78.3,57.8,50.8,45.6,40.9,45.5,46.3,76.4,102.2,97.6,27/4/2023,2/5/2023,0,27/1/2023,9/4/2023,12/4/2023,12/2/2023,8/3/2023
815549,modGR_Ex,50%,COLD,0.584010178,0.38733314,10.91424914,36.7070014,30.6260121,31.1,0.113752236,0.601795436,0.424003841,2.064729388,NA,3.405059568,18.13614476,86.57233229,14.83294241,NA,0.001798309,1.06585E-18,7.9887E-40,6.73581E-16,NA,10.91424914,Alnus glutinosa,80,Alnus,glutinosa,-2.9,50.8,10/11/2014,UK:England:Dorset,NA,7.65,7.75,9.85,12.05,15.45,18.15,20.25,19.95,17.55,13.95,10.45,7.95,5.65,5.35,7.05,8.75,11.95,14.85,16.85,16.65,14.45,11.45,8.25,6.05,2.95,2.55,3.75,4.85,8.15,10.95,13.15,13.15,3.45,5.55,8.75,11.25,5.03000021,5,6.809999943,6.460000038,9.079999924,11.68999958,14.09000015,15.71000004,15.52000046,12.78999996,10.43999958,7.869999886,120.9,93.3,87.8,71.3,71.4,61.6,67,64.8,68,109.2,101.2,138.2,7.15,6.85,8.35,10.15,14.25,17.15,19.75,20.05,18.35,15.15,10.65,8.25,9.35,9.35,11.25,13.65,18.15,20.75,23.25,23.65,21.95,17.95,13.15,10.15,4.45,4.15,5.05,6.05,10.05,13.05,16.05,16.25,14.85,12.35,7.75,5.75,10.15,9.35,10.95,12.75,16.75,21.15,24.45,24.95,22.55,18.65,14.45,10.85,12.25,11.85,13.85,16.55,21.05,25.35,28.65,29.25,26.75,21.75,16.85,12.85,7.45,6.65,7.65,8.55,12.15,16.55,20.05,20.45,18.55,15.75,11.75,8.35,141.6,94.9,106.7,75.7,53.3,51.9,43.5,56.8,58.6,97.4,138.7,143.7,15/5/2023,19/5/2023,73.60598862,10/11/2022,5/5/2023,26/4/2023,20/3/2023,21/11/2022
815549,modGR_Ex,50%,NS,0.323572502,0.130448794,15.06124156,37.26632085,30.10108585,29.2,0.080976626,1.417244753,0.63797957,8.597384996,NA,1.610943806,10.62712812,58.41303174,3.501190869,NA,0.117013414,5.01397E-12,2.16807E-34,0.001388236,NA,15.06124156,Alnus glutinosa,80,Alnus,glutinosa,-2.9,50.8,10/11/2014,UK:England:Dorset,NA,7.65,7.75,9.85,12.05,15.45,18.15,20.25,19.95,17.55,13.95,10.45,7.95,5.65,5.35,7.05,8.75,11.95,14.85,16.85,16.65,14.45,11.45,8.25,6.05,2.95,2.55,3.75,4.85,8.15,10.95,13.15,13.15,3.45,5.55,8.75,11.25,5.03000021,5,6.809999943,6.460000038,9.079999924,11.68999958,14.09000015,15.71000004,15.52000046,12.78999996,10.43999958,7.869999886,120.9,93.3,87.8,71.3,71.4,61.6,67,64.8,68,109.2,101.2,138.2,7.15,6.85,8.35,10.15,14.25,17.15,19.75,20.05,18.35,15.15,10.65,8.25,9.35,9.35,11.25,13.65,18.15,20.75,23.25,23.65,21.95,17.95,13.15,10.15,4.45,4.15,5.05,6.05,10.05,13.05,16.05,16.25,14.85,12.35,7.75,5.75,10.15,9.35,10.95,12.75,16.75,21.15,24.45,24.95,22.55,18.65,14.45,10.85,12.25,11.85,13.85,16.55,21.05,25.35,28.65,29.25,26.75,21.75,16.85,12.85,7.45,6.65,7.65,8.55,12.15,16.55,20.05,20.45,18.55,15.75,11.75,8.35,141.6,94.9,106.7,75.7,53.3,51.9,43.5,56.8,58.6,97.4,138.7,143.7,1/7/2023,4/7/2023,9.14733313,10/11/2022,5/6/2023,5/6/2023,14/5/2023,8/5/2023
892915,modGR_Ex,50%,COLD,0.46928661,0.146171077,10.21637908,38.34235559,30.31797833,29.2,0.047056428,0.874963029,0.644666441,4.04136883,NA,3.106293521,11.67635516,59.47627048,7.501908291,NA,0.005564872,2.20061E-10,2.78626E-24,3.10116E-07,NA,10.21637908,Betula pubescens,30,Betula,pubescens,-4.8,51.8,8/9/2016,UK:Wales:Pembrokeshire,NA,7.85,7.55,8.85,10.55,13.25,15.55,17.35,17.55,16.05,13.45,10.55,8.45,6.65,6.15,7.35,8.65,11.25,13.65,15.65,15.85,14.45,11.95,9.35,7.25,4.75,4.15,5.25,6.25,8.85,11.45,13.55,13.85,5.35,7.55,10.25,12.45,6.010000229,5.590000153,5.760000229,3.75,6.929999828,9.640000343,11.52000046,12.92000008,13.27999973,11.76000023,10.89999962,8.199999809,147.8,104.5,102.7,76.1,83.1,76,91.3,85.5,89.4,159.5,146.5,159,8.25,7.75,8.55,10.05,13.25,15.65,18.25,18.85,18.05,15.45,11.95,9.35,9.45,9.05,10.05,12.05,15.55,17.65,20.05,20.75,19.95,17.15,13.15,10.55,6.35,5.95,6.65,7.45,10.65,13.25,16.25,16.65,15.85,13.65,10.25,7.55,10.85,9.95,10.95,12.35,15.65,19.35,22.35,23.35,21.95,18.85,15.35,11.75,11.95,11.35,12.55,14.45,18.15,21.75,24.55,25.75,24.25,20.65,16.65,12.85,9.05,8.25,8.95,9.75,12.75,16.85,19.95,20.75,19.55,17.05,13.65,9.95,168.1,108.9,124.2,84.5,65.1,61.4,64.2,72.8,78.2,149.9,193.8,157.8,24/5/2023,17/9/2022,420.9071546,8/9/2022,7/5/2023,14/9/2022,2/3/2023,13/9/2022
892915,modGR_Ex,50%,NS,0.194042017,0.023929605,21.0626843,37.85131334,23.85104064,29.9,0.747227693,9.905160186,6.249792124,76.79700601,NA,0.032024516,2.126435505,6.056411571,0.310572532,NA,0.97476994,0.046107449,6.40138E-06,0.75933904,NA,21.0626843,Betula pubescens,30,Betula,pubescens,-4.8,51.8,8/9/2016,UK:Wales:Pembrokeshire,NA,7.85,7.55,8.85,10.55,13.25,15.55,17.35,17.55,16.05,13.45,10.55,8.45,6.65,6.15,7.35,8.65,11.25,13.65,15.65,15.85,14.45,11.95,9.35,7.25,4.75,4.15,5.25,6.25,8.85,11.45,13.55,13.85,5.35,7.55,10.25,12.45,6.010000229,5.590000153,5.760000229,3.75,6.929999828,9.640000343,11.52000046,12.92000008,13.27999973,11.76000023,10.89999962,8.199999809,147.8,104.5,102.7,76.1,83.1,76,91.3,85.5,89.4,159.5,146.5,159,8.25,7.75,8.55,10.05,13.25,15.65,18.25,18.85,18.05,15.45,11.95,9.35,9.45,9.05,10.05,12.05,15.55,17.65,20.05,20.75,19.95,17.15,13.15,10.55,6.35,5.95,6.65,7.45,10.65,13.25,16.25,16.65,15.85,13.65,10.25,7.55,10.85,9.95,10.95,12.35,15.65,19.35,22.35,23.35,21.95,18.85,15.35,11.75,11.95,11.35,12.55,14.45,18.15,21.75,24.55,25.75,24.25,20.65,16.65,12.85,9.05,8.25,8.95,9.75,12.75,16.85,19.95,20.75,19.55,17.05,13.65,9.95,168.1,108.9,124.2,84.5,65.1,61.4,64.2,72.8,78.2,149.9,193.8,157.8,NA,NA,23.03247983,8/9/2022,NA,NA,18/7/2023,8/6/2023
893048,modGR_Ex,50%,COLD,0.32289192,0.300409073,10.16680494,36.41482494,52.50171367,30,0.198673119,2.162411091,0.783333445,12.65898662,NA,1.512077101,4.70160599,46.48700393,4.147386772,NA,0.146155345,0.00013691,3.71918E-22,0.000498414,NA,10.16680494,Betula pubescens,150,Betula,pubescens,-2.6,55.7,13/9/2016,UK:Scotland:Borders,NA,5.15,5.65,7.75,10.05,12.95,15.55,17.75,17.35,14.85,11.35,7.65,5.25,3.75,3.95,5.55,7.35,10.05,12.85,14.95,14.65,12.35,9.35,6.15,3.85,0.65,0.65,1.65,2.95,5.65,8.65,10.65,10.55,0.85,3.05,6.05,8.65,3.569999933,3.700000048,3.349999905,4.920000076,7.570000172,10,12.98999977,13.81999969,12.67000008,10.02999973,7.829999924,4.650000095,88.2,67.3,75.4,62.7,64.4,70,88.3,82,64.7,97.2,91.6,92.7,5.05,5.25,6.45,8.35,12.05,14.95,17.85,17.95,15.85,12.65,8.45,5.95,6.55,6.85,8.75,11.35,15.65,18.15,21.05,20.95,18.85,15.05,10.35,7.45,1.95,1.95,2.65,3.75,7.05,10.05,13.35,13.55,11.75,9.25,5.05,2.95,7.75,7.55,8.65,10.75,14.35,18.85,22.25,22.45,19.65,16.05,12.05,8.65,9.35,9.35,11.15,13.95,18.25,22.65,26.05,26.35,23.45,18.45,13.85,10.15,4.55,4.35,4.65,5.95,9.05,13.65,17.15,17.35,15.15,12.75,8.75,5.55,100.7,71.2,85.1,77.1,52.6,60.7,66,63.5,66.3,93.9,118.5,89.4,10/6/2023,16/5/2023,256.3298363,13/9/2022,27/5/2023,26/9/2022,5/5/2023,23/9/2022
893048,modGR_Ex,50%,NS,0.183025126,0.018310466,22.00914029,34.97934211,18.78282794,28.7,0.556387282,6.34869428,0.165094732,46.22339044,NA,0.03290957,3.466719189,211.8743681,0.406348988,NA,0.974072924,0.002435642,2.70305E-35,0.688801367,NA,22.00914029,Betula pubescens,150,Betula,pubescens,-2.6,55.7,13/9/2016,UK:Scotland:Borders,NA,5.15,5.65,7.75,10.05,12.95,15.55,17.75,17.35,14.85,11.35,7.65,5.25,3.75,3.95,5.55,7.35,10.05,12.85,14.95,14.65,12.35,9.35,6.15,3.85,0.65,0.65,1.65,2.95,5.65,8.65,10.65,10.55,0.85,3.05,6.05,8.65,3.569999933,3.700000048,3.349999905,4.920000076,7.570000172,10,12.98999977,13.81999969,12.67000008,10.02999973,7.829999924,4.650000095,88.2,67.3,75.4,62.7,64.4,70,88.3,82,64.7,97.2,91.6,92.7,5.05,5.25,6.45,8.35,12.05,14.95,17.85,17.95,15.85,12.65,8.45,5.95,6.55,6.85,8.75,11.35,15.65,18.15,21.05,20.95,18.85,15.05,10.35,7.45,1.95,1.95,2.65,3.75,7.05,10.05,13.35,13.55,11.75,9.25,5.05,2.95,7.75,7.55,8.65,10.75,14.35,18.85,22.25,22.45,19.65,16.05,12.05,8.65,9.35,9.35,11.15,13.95,18.25,22.65,26.05,26.35,23.45,18.45,13.85,10.15,4.55,4.35,4.65,5.95,9.05,13.65,17.15,17.35,15.15,12.75,8.75,5.55,100.7,71.2,85.1,77.1,52.6,60.7,66,63.5,66.3,93.9,118.5,89.4,NA,NA,4.481851422,13/9/2022,NA,NA,17/7/2023,12/7/2023
