"serial_number","treat","mod","Genus","Species","date","cumulative_heat_sum","q50","Tb","T_min","T_max","T_mean"
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-04,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-05,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-06,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-07,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-08,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-09,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-10,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-11,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-12,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-13,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-14,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-15,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-16,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-17,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-18,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-19,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-20,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-21,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-22,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-23,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-24,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-25,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-26,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-27,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-28,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-29,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-30,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2022-12-31,0,0,8.71470942927753,2.84999999999996,7.25000000000006,5.05000000000001
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-01,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-02,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-03,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-04,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-05,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-06,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-07,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-08,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-09,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-10,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-11,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-12,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-13,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-14,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-15,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
758725,"COLD","modGR_Ex","Alnus","glutinosa",2023-01-16,0,0,8.71470942927753,2.6500000000001,6.85000000000002,4.75000000000006
