"coefficients_mod2","factor","Estimate","Std. Error","t-value","p-value","serial_number","treat","g","mod","max_GR"
"k","(Intercept)",0.250535664301205,0.0639845885188433,3.91556263939125,0.000443741678811892,"758725","COLD","50%","modGR_Ex",0.495842495835726
"Tb","(Intercept)",8.71470942927753,0.495275653840283,17.5956749775709,0.00000000000000000257599683133088,"758725","COLD","50%","modGR_Ex",0.495842495835726
"Tc","(Intercept)",38.0412564070168,0.641957993733586,59.2581707500383,0.000000000000000000000000000000000137472711668307,"758725","COLD","50%","modGR_Ex",0.495842495835726
"ThetaT","(Intercept)",37.3200995694857,2.30592054248076,16.1844690144162,0.0000000000000000287577205547648,"758725","COLD","50%","modGR_Ex",0.495842495835726
"To",NA,30.6,NA,NA,NA,"758725","COLD","50%","modGR_Ex",0.495842495835726
"k","(Intercept)",0.0645700705497786,0.00832342035606978,7.75763661902424,0.00000000941946587752923,"758725","NS","50%","modGR_Ex",0.28853735518893
"Tb","(Intercept)",14.9728622840913,0.166225214696505,90.075758430686,0.0000000000000000000000000000000000000022392125026032,"758725","NS","50%","modGR_Ex",0.28853735518893
"Tc","(Intercept)",40.0185319051594,0.10032315832814,398.89625259071,0.0000000000000000000000000000000000000000000000000000000000218727532892153,"758725","NS","50%","modGR_Ex",0.28853735518893
"ThetaT","(Intercept)",30.9714668803106,1.33683344859554,23.1677827277951,0.00000000000000000000194930222432359,"758725","NS","50%","modGR_Ex",0.28853735518893
"To",NA,29.7,NA,NA,NA,"758725","NS","50%","modGR_Ex",0.28853735518893
"k","(Intercept)",0.246689870964496,0.0442818281034142,5.57090530202106,0.00000377213728365248,"770857","COLD","50%","modGR_Ex",0.593936140578183
"Tb","(Intercept)",8.07683894900528,0.339722959969902,23.7747809265551,0.000000000000000000000331280131983287,"770857","COLD","50%","modGR_Ex",0.593936140578183
"Tc","(Intercept)",38.3881191544642,0.497261449092439,77.1990654504327,0.0000000000000000000000000000000000000307355252829821,"770857","COLD","50%","modGR_Ex",0.593936140578183
"ThetaT","(Intercept)",32.3919347536839,1.33269046315218,24.3056701081721,0.000000000000000000000169400187369875,"770857","COLD","50%","modGR_Ex",0.593936140578183
"To",NA,30.7,NA,NA,NA,"770857","COLD","50%","modGR_Ex",0.593936140578183
"k","(Intercept)",0.356795746401639,0.0799152174866047,4.46467841323769,0.0000934438577551895,"770857","NS","50%","modGR_Ex",0.361354723983364
"Tb","(Intercept)",7.06645074520991,0.480388086837287,14.7098792389567,0.000000000000000874160607082267,"770857","NS","50%","modGR_Ex",0.361354723983364
"Tc","(Intercept)",37.5657820826931,0.522417202688105,71.9076284038847,0.000000000000000000000000000000000000294396831954806,"770857","NS","50%","modGR_Ex",0.361354723983364
"ThetaT","(Intercept)",59.8964514265144,2.51993670132876,23.7690301486267,0.000000000000000000000333720197013513,"770857","NS","50%","modGR_Ex",0.361354723983364
"To",NA,31.2,NA,NA,NA,"770857","NS","50%","modGR_Ex",0.361354723983364
"k","(Intercept)",0.387333139939027,0.113752236096797,3.40505956831853,0.00179830915691048,"815549","COLD","50%","modGR_Ex",0.58401017783864
"Tb","(Intercept)",10.9142491406011,0.601795435706668,18.136144764516,0.00000000000000000106585443155561,"815549","COLD","50%","modGR_Ex",0.58401017783864
"Tc","(Intercept)",36.707001401366,0.42400384081825,86.572332294274,0.000000000000000000000000000000000000000798869537120986,"815549","COLD","50%","modGR_Ex",0.58401017783864
"ThetaT","(Intercept)",30.6260120957966,2.06472938765134,14.8329424083192,0.000000000000000673580814137056,"815549","COLD","50%","modGR_Ex",0.58401017783864
"To",NA,31.1,NA,NA,NA,"815549","COLD","50%","modGR_Ex",0.58401017783864
"k","(Intercept)",0.130448793843402,0.0809766258508001,1.61094380597871,0.117013414067995,"815549","NS","50%","modGR_Ex",0.323572502290994
"Tb","(Intercept)",15.0612415586754,1.41724475255774,10.6271281170694,0.00000000000501396819376712,"815549","NS","50%","modGR_Ex",0.323572502290994
"Tc","(Intercept)",37.2663208453591,0.637979569507592,58.4130317435121,0.000000000000000000000000000000000216807030987929,"815549","NS","50%","modGR_Ex",0.323572502290994
"ThetaT","(Intercept)",30.101085849252,8.59738499621011,3.50119086937727,0.0013882359544699,"815549","NS","50%","modGR_Ex",0.323572502290994
"To",NA,29.2,NA,NA,NA,"815549","NS","50%","modGR_Ex",0.323572502290994
"k","(Intercept)",0.353087961446622,0.0731187235990828,4.82896779466007,0.0000326483352113723,"895710","COLD","50%","modGR_Ex",0.58145732513687
"Tb","(Intercept)",8.16813909714245,0.399418863112503,20.4500584511497,0.0000000000000000000307480279099138,"895710","COLD","50%","modGR_Ex",0.58145732513687
"Tc","(Intercept)",37.0514898638354,0.372373601006765,99.5008501238042,0.00000000000000000000000000000000000000000944324315406841,"895710","COLD","50%","modGR_Ex",0.58145732513687
"ThetaT","(Intercept)",34.6426676544109,1.44664077979346,23.9469729723484,0.000000000000000000000266124415906396,"895710","COLD","50%","modGR_Ex",0.58145732513687
"To",NA,30.8,NA,NA,NA,"895710","COLD","50%","modGR_Ex",0.58145732513687
"k","(Intercept)",0.157354169657785,0.0329059200733467,4.7819410400027,0.0000374146539401258,"895710","NS","50%","modGR_Ex",0.383414263570144
"Tb","(Intercept)",14.4324939545368,0.264682020289337,54.5276703674846,0.0000000000000000000000000000000019204408636763,"895710","NS","50%","modGR_Ex",0.383414263570144
"Tc","(Intercept)",37.0827953938767,0.284394701014223,130.392005412302,0.00000000000000000000000000000000000000000000168511567860165,"895710","NS","50%","modGR_Ex",0.383414263570144
"ThetaT","(Intercept)",28.1821646487796,2.03306941456224,13.861880193032,0.00000000000000445924224403023,"895710","NS","50%","modGR_Ex",0.383414263570144
"To",NA,29.4,NA,NA,NA,"895710","NS","50%","modGR_Ex",0.383414263570144
"k","(Intercept)",0.14397348090364,0.0387710935169426,3.71342327088931,0.00077765794871329,"899305","COLD","50%","modGR_Ex",0.524413797150253
"Tb","(Intercept)",13.641843071601,0.393689673260243,34.6512596041177,0.00000000000000000000000000301259268666611,"899305","COLD","50%","modGR_Ex",0.524413797150253
"Tc","(Intercept)",37.5513697553212,0.426948612408047,87.9529026772717,0.000000000000000000000000000000000000000482497566582964,"899305","COLD","50%","modGR_Ex",0.524413797150253
"ThetaT","(Intercept)",21.4423963975361,2.04175658540826,10.5019357110331,0.0000000000067488718332503,"899305","COLD","50%","modGR_Ex",0.524413797150253
"To",NA,29.3,NA,NA,NA,"899305","COLD","50%","modGR_Ex",0.524413797150253
"k","(Intercept)",0.180603657578581,0.0358437231167498,5.03864113084236,0.0000177603037756829,"899305","NS","50%","modGR_Ex",0.41780945773064
"Tb","(Intercept)",14.8701751237797,0.260039738549263,57.1842411730568,0.00000000000000000000000000000000042542223794498,"899305","NS","50%","modGR_Ex",0.41780945773064
"Tc","(Intercept)",36.7035684539435,0.240408464418202,152.671697907008,0.0000000000000000000000000000000000000000000000109097898406124,"899305","NS","50%","modGR_Ex",0.41780945773064
"ThetaT","(Intercept)",25.985914178193,1.79373847410348,14.487013883772,0.00000000000000132502760766554,"899305","NS","50%","modGR_Ex",0.41780945773064
"To",NA,29.5,NA,NA,NA,"899305","NS","50%","modGR_Ex",0.41780945773064
"k","(Intercept)",0.697599621364697,0.179996828868382,3.87562173039613,0.000585958660344518,"925026","COLD","50%","modGR_Ex",0.587948708782889
"Tb","(Intercept)",7.00869853771591,0.562994582186768,12.4489626711734,0.000000000000623138496015951,"925026","COLD","50%","modGR_Ex",0.587948708782889
"Tc","(Intercept)",35.9521054153692,0.245291231799783,146.569060588007,0.000000000000000000000000000000000000000002997964903228,"925026","COLD","50%","modGR_Ex",0.587948708782889
"ThetaT","(Intercept)",39.8375419830171,1.58707598951371,25.1012190003729,0.00000000000000000000486011820917458,"925026","COLD","50%","modGR_Ex",0.587948708782889
"To",NA,31.8,NA,NA,NA,"925026","COLD","50%","modGR_Ex",0.587948708782889
"k","(Intercept)",0.358515232950637,0.0874287078846628,4.10065802898054,0.000320627743761724,"925026","NS","50%","modGR_Ex",0.278054105401983
"Tb","(Intercept)",7.31066719965749,0.578920298524595,12.628106525698,0.000000000000442825632841693,"925026","NS","50%","modGR_Ex",0.278054105401983
"Tc","(Intercept)",37.4780479974695,0.562737715175723,66.5994956207376,0.0000000000000000000000000000000109520157164159,"925026","NS","50%","modGR_Ex",0.278054105401983
"ThetaT","(Intercept)",76.8692038712109,3.80747014262766,20.1890496817294,0.00000000000000000158454978731957,"925026","NS","50%","modGR_Ex",0.278054105401983
"To",NA,31.2,NA,NA,NA,"925026","NS","50%","modGR_Ex",0.278054105401983
