"coefficients_mod2","factor","Estimate","Std. Error","t-value","p-value","serial_number","treat","g","mod","max_GR"
"k","(Intercept)",0.447084581832278,0.0985899177514038,4.53479008836998,0.000201744664052788,"1010271","COLD","50%","modGR_Ex",0.621392929854571
"Tb","(Intercept)",10.2396896641831,0.416215005602692,24.6019233481401,0.000000000000000211277915788703,"1010271","COLD","50%","modGR_Ex",0.621392929854571
"Tc","(Intercept)",36.5501396108132,0.29646321197762,123.287268484335,0.00000000000000000000000000000135348302677913,"1010271","COLD","50%","modGR_Ex",0.621392929854571
"ThetaT","(Intercept)",30.6511961094997,1.30420119962196,23.5018922834792,0.000000000000000465123518705336,"1010271","COLD","50%","modGR_Ex",0.621392929854571
"To",NA,31.3,NA,NA,NA,"1010271","COLD","50%","modGR_Ex",0.621392929854571
"k","(Intercept)",-0.0406118957597502,0.0400422560009932,-1.01422596565845,0.322588369880745,"1010271","NS","50%","modGR_Ex",0.291079274351516
"Tb","(Intercept)",20.0002809609205,0.253821665428247,78.7965870729599,0.000000000000000000000000010275153135612,"1010271","NS","50%","modGR_Ex",0.291079274351516
"Tc","(Intercept)",38.4570616465473,1.06804085164777,36.0071073940813,0.0000000000000000000580819508830194,"1010271","NS","50%","modGR_Ex",0.291079274351516
"ThetaT","(Intercept)",13.0444540335419,2.01803117093151,6.46395071663867,0.00000265182215434655,"1010271","NS","50%","modGR_Ex",0.291079274351516
"To",NA,28.3,NA,NA,NA,"1010271","NS","50%","modGR_Ex",0.291079274351516
"k","(Intercept)",0.146171077309142,0.0470564279670331,3.10629352086705,0.00556487194149692,"892915","COLD","50%","modGR_Ex",0.469286610377678
"Tb","(Intercept)",10.2163790752643,0.874963029083459,11.6763551552185,0.000000000220061326388684,"892915","COLD","50%","modGR_Ex",0.469286610377678
"Tc","(Intercept)",38.3423555909772,0.644666440648193,59.4762704762871,0.00000000000000000000000278626002824042,"892915","COLD","50%","modGR_Ex",0.469286610377678
"ThetaT","(Intercept)",30.3179783303365,4.04136882974105,7.50190829087954,0.000000310115650515186,"892915","COLD","50%","modGR_Ex",0.469286610377678
"To",NA,29.2,NA,NA,NA,"892915","COLD","50%","modGR_Ex",0.469286610377678
"k","(Intercept)",0.0239296053458902,0.747227692611712,0.0320245161983376,0.974769940478464,"892915","NS","50%","modGR_Ex",0.194042016722337
"Tb","(Intercept)",21.0626842989917,9.9051601856199,2.12643550475539,0.0461074490952373,"892915","NS","50%","modGR_Ex",0.194042016722337
"Tc","(Intercept)",37.8513133391257,6.24979212402839,6.05641157145049,0.00000640138139448974,"892915","NS","50%","modGR_Ex",0.194042016722337
"ThetaT","(Intercept)",23.851040642752,76.7970060134107,0.310572532457672,0.759339040227367,"892915","NS","50%","modGR_Ex",0.194042016722337
"To",NA,29.9,NA,NA,NA,"892915","NS","50%","modGR_Ex",0.194042016722337
"k","(Intercept)",0.300409073201837,0.198673118593203,1.51207710096374,0.14615534541285,"893048","COLD","50%","modGR_Ex",0.322891920042015
"Tb","(Intercept)",10.1668049369588,2.16241109050085,4.70160599047055,0.000136910378989904,"893048","COLD","50%","modGR_Ex",0.322891920042015
"Tc","(Intercept)",36.4148249394864,0.783333444991878,46.4870039346577,0.000000000000000000000371917937689491,"893048","COLD","50%","modGR_Ex",0.322891920042015
"ThetaT","(Intercept)",52.5017136741425,12.6589866233075,4.14738677245122,0.000498413564720651,"893048","COLD","50%","modGR_Ex",0.322891920042015
"To",NA,30,NA,NA,NA,"893048","COLD","50%","modGR_Ex",0.322891920042015
"k","(Intercept)",0.0183104663495983,0.556387281747602,0.0329095702764547,0.974072923923846,"893048","NS","50%","modGR_Ex",0.183025125983049
