"coefficients_mod2","factor","Estimate","Std. Error","t-value","p-value","serial_number","treat","g","mod","max_GR"
"k","(Intercept)",0.139636922622373,0.033425886877027,4.17750838253279,0.000276298384130264,"912563","COLD","50%","modGR_Ex",0.630710287767276
"Tb","(Intercept)",8.12160353489258,0.565207617364198,14.3692393474225,0.0000000000000362150675752595,"912563","COLD","50%","modGR_Ex",0.630710287767276
"Tc","(Intercept)",37.3727230479449,0.399949749326413,93.4435466227626,0.00000000000000000000000000000000000960085505276986,"912563","COLD","50%","modGR_Ex",0.630710287767276
"ThetaT","(Intercept)",23.3986071305535,2.20517872296412,10.6107531724694,0.0000000000392055970280392,"912563","COLD","50%","modGR_Ex",0.630710287767276
"To",NA,27.9,NA,NA,NA,"912563","COLD","50%","modGR_Ex",0.630710287767276
"k","(Intercept)",0.140037789858652,0.0934654593053759,1.49828386763833,0.14524983802253,"912563","NS","50%","modGR_Ex",0.230909561613506
"Tb","(Intercept)",6.4440002501151,1.49491888055184,4.31060195569699,0.000181801064742536,"912563","NS","50%","modGR_Ex",0.230909561613506
"Tc","(Intercept)",32.0718692609981,0.866833688723031,36.9988726536973,0.000000000000000000000000127462135534522,"912563","NS","50%","modGR_Ex",0.230909561613506
"ThetaT","(Intercept)",53.0972749666995,15.2468834512499,3.4825002195676,0.0016498210339868,"912563","NS","50%","modGR_Ex",0.230909561613506
"To",NA,23.4,NA,NA,NA,"912563","NS","50%","modGR_Ex",0.230909561613506
"k","(Intercept)",0.378453521381893,0.14786097137896,2.55952275879437,0.0154092436055946,"912585","COLD","50%","modGR_Ex",0.34032964215291
"Tb","(Intercept)",5.74444673545463,2.59644794002235,2.21242515473088,0.0341940887371771,"912585","COLD","50%","modGR_Ex",0.34032964215291
"Tc","(Intercept)",35.0268686901111,0.232570423450138,150.607580149248,0.0000000000000000000000000000000000000000000000168552716886965,"912585","COLD","50%","modGR_Ex",0.34032964215291
"ThetaT","(Intercept)",61.3502658353546,12.0232419944094,5.10263919364523,0.0000147438831983634,"912585","COLD","50%","modGR_Ex",0.34032964215291
"To",NA,29,NA,NA,NA,"912585","COLD","50%","modGR_Ex",0.34032964215291
"k","(Intercept)",0.00517063261602936,0.0555308380304887,0.0931128144183682,0.926394475286141,"912585","NS","50%","modGR_Ex",0.124211149066514
"Tb","(Intercept)",4.91243425560191,1.35858592347222,3.61584362882762,0.00101642157924117,"912585","NS","50%","modGR_Ex",0.124211149066514
"Tc","(Intercept)",32.2313544263611,2.18812766921387,14.7301068762322,0.000000000000000857925905969859,"912585","NS","50%","modGR_Ex",0.124211149066514
"ThetaT","(Intercept)",56.9430724204306,20.1665346327085,2.82364191258093,0.00810259170937468,"912585","NS","50%","modGR_Ex",0.124211149066514
"To",NA,18.8,NA,NA,NA,"912585","NS","50%","modGR_Ex",0.124211149066514
"k","(Intercept)",0.0442393061252653,0.0184570307822114,2.39688098520714,0.0225477991696806,"912596","COLD","50%","modGR_Ex",0.547531520290896
"Tb","(Intercept)",7.88042591902225,0.802122741741483,9.82446389926947,0.0000000000349036189243073,"912596","COLD","50%","modGR_Ex",0.547531520290896
"Tc","(Intercept)",41.1240490561029,0.423789070843579,97.0389561350483,0.0000000000000000000000000000000000000000209984074175439,"912596","COLD","50%","modGR_Ex",0.547531520290896
"ThetaT","(Intercept)",21.0681381005483,2.88847506378307,7.29386185974376,0.0000000273010707186419,"912596","COLD","50%","modGR_Ex",0.547531520290896
"To",NA,27.2,NA,NA,NA,"912596","COLD","50%","modGR_Ex",0.547531520290896
"k","(Intercept)",0.0319045916521468,0.0255134973849374,1.25049855653983,0.220184508198531,"912596","NS","50%","modGR_Ex",0.215383301341732
"Tb","(Intercept)",7.42662799216448,0.890580405020834,8.33908757737685,0.00000000157997485048795,"912596","NS","50%","modGR_Ex",0.215383301341732
"Tc","(Intercept)",35.6112581513803,0.402026008940583,88.5794882903792,0.000000000000000000000000000000000000000384796521469801,"912596","NS","50%","modGR_Ex",0.215383301341732
"ThetaT","(Intercept)",40.3831174997113,7.548592058617,5.34975491934452,0.00000718103516599542,"912596","NS","50%","modGR_Ex",0.215383301341732
"To",NA,23,NA,NA,NA,"912596","NS","50%","modGR_Ex",0.215383301341732
"k","(Intercept)",0.12720978921141,0.0283329863361154,4.48981225283896,0.0000869348021298873,"925037","COLD","50%","modGR_Ex",0.570361490177962
"Tb","(Intercept)",7.33919058283209,0.528272032758282,13.8928243929775,0.00000000000000421471610342802,"925037","COLD","50%","modGR_Ex",0.570361490177962
"Tc","(Intercept)",38.8974134219577,0.581018637959149,66.9469288602969,0.00000000000000000000000000000000000285744953818489,"925037","COLD","50%","modGR_Ex",0.570361490177962
"ThetaT","(Intercept)",27.7178751311575,2.22846817623569,12.4380843427517,0.0000000000000847779512005831,"925037","COLD","50%","modGR_Ex",0.570361490177962
"To",NA,28.6,NA,NA,NA,"925037","COLD","50%","modGR_Ex",0.570361490177962
"k","(Intercept)",0.117357776858489,0.0202192009687782,5.80427372178103,0.00000191426840960076,"925037","NS","50%","modGR_Ex",0.267448529459588
"Tb","(Intercept)",6.62665746156925,0.598952897554,11.0637372131117,0.00000000000180661964165896,"925037","NS","50%","modGR_Ex",0.267448529459588
"Tc","(Intercept)",36.1677617387966,0.191183841214079,189.177921675387,0.0000000000000000000000000000000000000000000000000115202052134214,"925037","NS","50%","modGR_Ex",0.267448529459588
"ThetaT","(Intercept)",52.098653218536,4.58473797060308,11.3634963552089,0.000000000000909013446811566,"925037","NS","50%","modGR_Ex",0.267448529459588
"To",NA,26,NA,NA,NA,"925037","NS","50%","modGR_Ex",0.267448529459588
"k","(Intercept)",0.246904225337995,0.0582516046575002,4.2385823839482,0.000178357911285535,"925509","COLD","50%","modGR_Ex",0.613328932577282
"Tb","(Intercept)",6.65869107413366,0.799465596534642,8.32892760238387,0.00000000162331284227064,"925509","COLD","50%","modGR_Ex",0.613328932577282
"Tc","(Intercept)",36.4729121392856,0.297533272340217,122.584314192533,0.0000000000000000000000000000000000000000000121081723919211,"925509","COLD","50%","modGR_Ex",0.613328932577282
"ThetaT","(Intercept)",30.6925315376993,2.72210697010658,11.2752848711517,0.00000000000111132755673752,"925509","COLD","50%","modGR_Ex",0.613328932577282
"To",NA,28.9,NA,NA,NA,"925509","COLD","50%","modGR_Ex",0.613328932577282
"k","(Intercept)",0.0175070255114884,0.0198804467398324,0.880615297060272,0.385092294156424,"925509","NS","50%","modGR_Ex",0.229602732900342
"Tb","(Intercept)",7.94373371976091,0.634738609397454,12.5149685274412,0.0000000000000719105739804443,"925509","NS","50%","modGR_Ex",0.229602732900342
"Tc","(Intercept)",35.93788679228,0.404132818027995,88.9259302613493,0.00000000000000000000000000000000000000033977871785624,"925509","NS","50%","modGR_Ex",0.229602732900342
"ThetaT","(Intercept)",34.3152793874189,5.05413268499803,6.78954857858709,0.000000112755387903778,"925509","NS","50%","modGR_Ex",0.229602732900342
"To",NA,22.8,NA,NA,NA,"925509","NS","50%","modGR_Ex",0.229602732900342
"k","(Intercept)",0.05145366584265,0.0192968911165073,2.66642256164438,0.0125905617319717,"945534","COLD","50%","modGR_Ex",0.521190677918012
"Tb","(Intercept)",6.96459724432676,0.975803012618303,7.13729836274962,0.0000000911866813721606,"945534","COLD","50%","modGR_Ex",0.521190677918012
"Tc","(Intercept)",40.403894761995,0.337601795739513,119.679146473409,0.000000000000000000000000000000000000000866304571034628,"945534","COLD","50%","modGR_Ex",0.521190677918012
"ThetaT","(Intercept)",23.3343102551336,3.49936872487241,6.66814848326232,0.000000309253477548468,"945534","COLD","50%","modGR_Ex",0.521190677918012
"To",NA,26.8,NA,NA,NA,"945534","COLD","50%","modGR_Ex",0.521190677918012
"k","(Intercept)",0.139473452033474,0.0951096260891971,1.46644937813835,0.154077135048053,"945534","NS","50%","modGR_Ex",0.225412447332601
"Tb","(Intercept)",7.33403155379239,1.46269350552014,5.01405901244113,0.0000293265690314959,"945534","NS","50%","modGR_Ex",0.225412447332601
"Tc","(Intercept)",32.1753715263882,0.990222212988064,32.4930819611659,0.0000000000000000000000175112198318406,"945534","NS","50%","modGR_Ex",0.225412447332601
"ThetaT","(Intercept)",51.9669137410677,14.544786239579,3.57288947978185,0.00135365171889959,"945534","NS","50%","modGR_Ex",0.225412447332601
"To",NA,23.7,NA,NA,NA,"945534","NS","50%","modGR_Ex",0.225412447332601
