"Estimate","Std. Error","Adjusted SE","z or t value","p value","2.5 %","97.5 %","Response","Full_Model","pred_label"
-2.9148,0.8227,0.8953,3.2558,0.0011,-4.6696,-1.1601,"delta_Estimate_Tb","PC1 + PC2 + sp","(Intercept)"
-7.8588,1.1664,1.2706,6.1851,0,-10.3491,-5.3684,"delta_Estimate_Tb","PC1 + PC2 + sp","Betula pubescens"
3.3073,1.2108,1.315,2.515,0.0119,0.7299,5.8846,"delta_Estimate_Tb","PC1 + PC2 + sp","Pinus sylvestris"
0.0281,0.0943,0.0996,0.2825,0.7775,-0.1671,0.2234,"delta_Estimate_Tb","PC1 + PC2 + sp","PC1"
0.0058,0.097,0.1059,0.0545,0.9565,-0.2018,0.2133,"delta_Estimate_Tb","PC1 + PC2 + sp","PC2"
0.4911,0.7089,0.7752,0.6335,0.5264,-1.0282,2.0104,"delta_Estimate_To","PC1 + PC2 + sp","(Intercept)"
0.6286,0.3098,0.327,1.9221,0.0546,-0.0124,1.2696,"delta_Estimate_To","PC1 + PC2 + sp","PC2"
0.9077,1.22,1.3186,0.6884,0.4912,-1.6768,3.4922,"delta_Estimate_To","PC1 + PC2 + sp","Betula pubescens"
3.5524,1.1043,1.202,2.9555,0.0031,1.1966,5.9083,"delta_Estimate_To","PC1 + PC2 + sp","Pinus sylvestris"
0.0023,0.0471,0.0518,0.0451,0.964,-0.0991,0.1038,"delta_Estimate_To","PC1 + PC2 + sp","PC1"
-0.1779,0.7996,0.8676,0.2051,0.8375,-1.8783,1.5225,"delta_Estimate_Tc","PC1 + PC2 + sp","(Intercept)"
0.5833,1.1391,1.2371,0.4715,0.6373,-1.8415,3.008,"delta_Estimate_Tc","PC1 + PC2 + sp","Betula pubescens"
4.1987,1.3144,1.4089,2.9801,0.0029,1.4373,6.9601,"delta_Estimate_Tc","PC1 + PC2 + sp","Pinus sylvestris"
-0.1201,0.1704,0.1765,0.6804,0.4963,-0.466,0.2258,"delta_Estimate_Tc","PC1 + PC2 + sp","PC1"
-0.0677,0.183,0.1915,0.3534,0.7238,-0.4431,0.3077,"delta_Estimate_Tc","PC1 + PC2 + sp","PC2"
-9.3473,6.1059,6.651,1.4054,0.1599,-22.3831,3.6884,"delta_Estimate_ThetaT","PC1 + PC2 + sp","(Intercept)"
24.2748,9.1916,9.9623,2.4367,0.0148,4.7489,43.8006,"delta_Estimate_ThetaT","PC1 + PC2 + sp","Betula pubescens"
-8.6332,8.9568,9.7407,0.8863,0.3755,-27.7246,10.4583,"delta_Estimate_ThetaT","PC1 + PC2 + sp","Pinus sylvestris"
0.5575,1.4472,1.5142,0.3682,0.7127,-2.4102,3.5252,"delta_Estimate_ThetaT","PC1 + PC2 + sp","PC2"
-0.0646,0.4716,0.5094,0.1267,0.8991,-1.0629,0.9338,"delta_Estimate_ThetaT","PC1 + PC2 + sp","PC1"
2.9713,1.0497,1.1372,2.6127,0.009,0.7423,5.2002,"delta_Estimate_thermal_width","PC1 + PC2 + sp","(Intercept)"
-0.2903,0.2609,0.2706,1.073,0.2833,-0.8207,0.24,"delta_Estimate_thermal_width","PC1 + PC2 + sp","PC1"
8.3561,1.4222,1.5495,5.3928,0,5.3192,11.393,"delta_Estimate_thermal_width","PC1 + PC2 + sp","Betula pubescens"
0.2742,1.7621,1.8852,0.1455,0.8843,-3.4207,3.9692,"delta_Estimate_thermal_width","PC1 + PC2 + sp","Pinus sylvestris"
-0.0429,0.179,0.1897,0.2262,0.8211,-0.4146,0.3288,"delta_Estimate_thermal_width","PC1 + PC2 + sp","PC2"
