"Estimate","Std. Error","Adjusted SE","z or t value","p value","2.5 %","97.5 %","Response","Full_Model","pred_label"
-3.4366,0.9598,1.066,3.224,0.0013,-5.5258,-1.3474,"delta_Estimate_Tb","log_seed_mass + sp","(Intercept)"
-6.8235,2.7307,2.991,2.2814,0.0225,-12.6858,-0.9613,"delta_Estimate_Tb","log_seed_mass + sp","Betula pubescens"
3.4175,2.6425,2.8952,1.1804,0.2378,-2.257,9.0921,"delta_Estimate_Tb","log_seed_mass + sp","Pinus sylvestris"
0.6256,3.2981,3.5957,0.174,0.8619,-6.4219,7.6731,"delta_Estimate_Tb","log_seed_mass + sp","log_seed_mass"
2.1661,1.2167,1.3195,1.6416,0.1007,-0.4201,4.7522,"delta_Estimate_To","log_seed_mass + sp","(Intercept)"
-15.5194,9.5777,10.1023,1.5362,0.1245,-35.3196,4.2807,"delta_Estimate_To","log_seed_mass + sp","log_seed_mass"
-11.7009,7.0929,7.4939,1.5614,0.1184,-26.3887,2.9869,"delta_Estimate_To","log_seed_mass + sp","Betula pubescens"
15.6881,6.8051,7.1909,2.1817,0.0291,1.5941,29.7821,"delta_Estimate_To","log_seed_mass + sp","Pinus sylvestris"
-0.2948,0.8137,0.8985,0.3281,0.7428,-2.0558,1.4661,"delta_Estimate_Tc","log_seed_mass + sp","(Intercept)"
1.6519,2.9575,3.1647,0.522,0.6017,-4.5507,7.8545,"delta_Estimate_Tc","log_seed_mass + sp","Betula pubescens"
2.6997,2.8496,3.0505,0.885,0.3762,-3.2791,8.6786,"delta_Estimate_Tc","log_seed_mass + sp","Pinus sylvestris"
1.2204,3.7922,4.0343,0.3025,0.7623,-6.6866,9.1274,"delta_Estimate_Tc","log_seed_mass + sp","log_seed_mass"
0.4535,7.9155,8.5659,0.0529,0.9578,-16.3353,17.2423,"delta_Estimate_ThetaT","log_seed_mass + sp","(Intercept)"
-14.3925,42.8669,44.8098,0.3212,0.7481,-102.2182,73.4332,"delta_Estimate_ThetaT","log_seed_mass + sp","Betula pubescens"
20.3286,41.1454,43.02,0.4725,0.6365,-63.989,104.6463,"delta_Estimate_ThetaT","log_seed_mass + sp","Pinus sylvestris"
-44.4213,57.5963,60.0487,0.7398,0.4594,-162.1146,73.2719,"delta_Estimate_ThetaT","log_seed_mass + sp","log_seed_mass"
3.1842,0.9668,1.0763,2.9585,0.0031,1.0747,5.2938,"delta_Estimate_thermal_width","log_seed_mass + sp","(Intercept)"
8.1468,2.3394,2.6139,3.1168,0.0018,3.0237,13.2698,"delta_Estimate_thermal_width","log_seed_mass + sp","Betula pubescens"
-0.4028,2.2734,2.5399,0.1586,0.874,-5.3809,4.5752,"delta_Estimate_thermal_width","log_seed_mass + sp","Pinus sylvestris"
0.1449,2.6421,2.9577,0.049,0.9609,-5.6521,5.942,"delta_Estimate_thermal_width","log_seed_mass + sp","log_seed_mass"
