"Species_Name","Geographical.Location","serial_number","treat","Tb_SE","Tc_SE","To","ThetaT_SE","k_SE","max_GR"
"Alnus glutinosa","UK:England:West Sussex",758725,"NS","14.97 (0.17)","40.02 (0.1)",29.7,"30.97 (1.3)","0.065 (0.008)",0.29
"Alnus glutinosa","UK:England:West Sussex",758725,"COLD","8.71 (0.5)","38.04 (0.64)",30.6,"37.32 (2.3)","0.251 (0.064)",0.5
"Alnus glutinosa","UK:England:Berkshire",770857,"NS","7.07 (0.48)","37.57 (0.52)",31.2,"59.9 (2.5)","0.357 (0.08)",0.36
"Alnus glutinosa","UK:England:Berkshire",770857,"COLD","8.08 (0.34)","38.39 (0.5)",30.7,"32.39 (1.3)","0.247 (0.044)",0.59
"Alnus glutinosa","UK:England:Dorset",815549,"NS","15.06 (1.4)","37.27 (0.64)",29.2,"30.1 (8.6)","0.13 (0.081)",0.32
"Alnus glutinosa","UK:England:Dorset",815549,"COLD","10.91 (0.6)","36.71 (0.42)",31.1,"30.63 (2.1)","0.387 (0.114)",0.58
"Alnus glutinosa","UK:Scotland:Tayside",895710,"NS","14.43 (0.26)","37.08 (0.28)",29.4,"28.18 (2)","0.157 (0.033)",0.38
"Alnus glutinosa","UK:Scotland:Tayside",895710,"COLD","8.17 (0.4)","37.05 (0.37)",30.8,"34.64 (1.4)","0.353 (0.073)",0.58
"Alnus glutinosa","UK:Scotland:Dumfries and Galloway",899305,"NS","14.87 (0.26)","36.7 (0.24)",29.5,"25.99 (1.8)","0.181 (0.036)",0.42
"Alnus glutinosa","UK:Scotland:Dumfries and Galloway",899305,"COLD","13.64 (0.39)","37.55 (0.43)",29.3,"21.44 (2)","0.144 (0.039)",0.52
"Alnus glutinosa","UK:England:Bedfordshire",925026,"NS","7.31 (0.58)","37.48 (0.56)",31.2,"76.87 (3.8)","0.359 (0.087)",0.28
"Alnus glutinosa","UK:England:Bedfordshire",925026,"COLD","7.01 (0.56)","35.95 (0.25)",31.8,"39.84 (1.6)","0.698 (0.18)",0.59
"Betula pubescens","UK:Wales:Pembrokeshire",892915,"NS","21.06 (9.9)","37.85 (6.2)",29.9,"23.85 (77)","0.024 (0.747)",0.19
"Betula pubescens","UK:Wales:Pembrokeshire",892915,"COLD","10.22 (0.87)","38.34 (0.64)",29.2,"30.32 (4)","0.146 (0.047)",0.47
"Betula pubescens","UK:Scotland:Borders",893048,"NS","22.01 (6.3)","34.98 (0.17)",28.7,"18.78 (46)","0.018 (0.556)",0.18
"Betula pubescens","UK:Scotland:Borders",893048,"COLD","10.17 (2.2)","36.41 (0.78)",30,"52.5 (13)","0.3 (0.199)",0.32
"Betula pubescens","UK:England:Hampshire",894492,"NS","23.14 (5.8)","37.34 (8.6)",30.5,"20.36 (75)","0.023 (1.186)",0.19
"Betula pubescens","UK:England:Hampshire",894492,"COLD","11.82 (0.97)","37.24 (0.65)",29.6,"31.32 (5.1)","0.197 (0.084)",0.44
"Betula pubescens","UK:Scotland:Strathclyde",895732,"NS","20.8 (8.3)","37.81 (4.5)",29.7,"25.02 (63)","0.023 (0.56)",0.19
